Nr,Question,Main Category,Field Name
1,"What is your favorite type of travel (adventure, sightseeing, beach, relaxation, culture, ...)?","TRAVEL","travel_persona"
2,"Do you prefer trips that are social and busy, or quiet and peaceful?","TRAVEL","preferred_vibe"
3,"How many trips do you take per year?","TRAVEL","trip_frequency"
4,"Who do you usually travel with (solo, partner, family, friends)?","TRAVEL","travel_companions"
5,"What is the main reason you travel?","TRAVEL","core_motivations"
6,"What are absolute deal-breakers for you when traveling?","TRAVEL","avoid_on_trips"
7,"What are your favorite travel destinations or regions?","TRAVEL","favorite_regions_or_countries"
8,"What climate or weather do you prefer when traveling?","TRAVEL","preferred_climate"
9,"What type of landscape do you prefer (beach, mountains, city, countryside)?","TRAVEL","preferred_landscapes"
10,"Do you prefer visiting cities or being in nature?","TRAVEL","urban_vs_nature_preference"
11,"What cultural interests do you have when traveling?","TRAVEL","cultural_interests"
12,"What languages do you speak?","TRAVEL","language_comfort_zones"
13,"What destinations are on your travel bucket list?","TRAVEL","travel_bucket_list"
14,"What type of accommodation do you prefer (hotels, Airbnb, hostels, camping)?","TRAVEL","preferred_types"
15,"What comfort level do you prefer for accommodation (budget, standard, luxury)?","TRAVEL","comfort_level"
16,"How would you describe your accommodation style preference?","TRAVEL","style_keywords"
17,"What are must-have amenities for you in accommodation?","TRAVEL","amenities_priority"
18,"Do you have favorite hotel brands or chains?","TRAVEL","favorite_hotels_or_brands"
19,"How long do you typically stay in one location?","TRAVEL","stay_duration_pattern"
20,"What is your preferred mode of transport (plane, train, car, bus)?","TRAVEL","preferred_modes"
21,"Do you have preferred airlines or train companies?","TRAVEL","airline_or_train_loyalty"
22,"What is your seat preference (window, aisle, doesn\'t matter)?","TRAVEL","seat_preference"
23,"How do you pack (light or heavy)?","TRAVEL","baggage_habits"
24,"Do you usually rent cars when traveling?","TRAVEL","car_rental_preference"
25,"How important is sustainable travel to you?","TRAVEL","sustainability_priority"
26,"Do you have any dietary needs or restrictions when traveling?","TRAVEL","dietary_considerations"
27,"What are your favorite cuisines?","TRAVEL","favorite_cuisines"
28,"What is your coffee preference?","TRAVEL","coffee_habits"
29,"What type of restaurants do you prefer (fine dining, casual, street food)?","TRAVEL","restaurant_type_preference"
30,"Do you like to try local food or stick to familiar options?","TRAVEL","local_food_openness"
31,"Are there foods you avoid when traveling?","TRAVEL","avoid_foods"
32,"What is your typical budget per trip?","TRAVEL","average_budget_per_trip"
33,"How flexible is your travel budget (strict or flexible)?","TRAVEL","budget_flexibility"
34,"What do you like to splurge on when traveling?","TRAVEL","splurge_categories"
35,"Where do you save money when traveling?","TRAVEL","saving_preferences"
36,"What does good value mean to you in travel?","TRAVEL","value_definition"
37,"What is your preferred payment method (cash, card, mobile)?","TRAVEL","preferred_payment_method"
38,"Do you prefer detailed planning or spontaneous travel?","TRAVEL","planning_style"
39,"How far in advance do you usually book your trips?","TRAVEL","booking_window"
40,"How do you discover new travel destinations?","TRAVEL","trip_discovery_channels"
41,"What are your most trusted travel information sources?","TRAVEL","trust_sources"
42,"What is your ideal trip length?","TRAVEL","trip_length_preference"
43,"How spontaneous are you when traveling (planned itinerary or go-with-the-flow)?","TRAVEL","spontaneity_level"
44,"What feeling do you want to experience from travel?","TRAVEL","feelings_sought_on_trip"
45,"If you could describe your perfect trip in one word, what would it be?","TRAVEL","perfect_trip_description"
46,"What was the best trip you\'ve ever taken?","TRAVEL","most_memorable_trip"
47,"What was your worst travel experience?","TRAVEL","worst_trip_pain_points"
48,"What stresses you the most when traveling?","TRAVEL","stress_triggers_when_traveling"
49,"How do you typically feel after returning from a trip?","TRAVEL","post_trip_feelings"
50,"What activities or experiences do you enjoy most when traveling?","TRAVEL","favorite_travel_activities"
51,"How would you describe your personal style in 3 words?","SHOPPING","style_words"
52,"What colors do you wear most often?","SHOPPING","dominant_colors"
53,"What materials or fabrics do you prefer?","SHOPPING","preferred_materials"
54,"What materials or patterns do you avoid?","SHOPPING","avoided_textures_patterns"
55,"What design qualities do you look for in products?","SHOPPING","attractive_design_qualities"
56,"What brands feel like they represent you?","SHOPPING","product_feels_like_me"
57,"What or who inspires your style?","SHOPPING","visual_references"
58,"What are your clothing sizes (tops, bottoms, shoes)?","SHOPPING","sizes"
59,"What is your preferred fit (tight, fitted, regular, loose, oversized)?","SHOPPING","preferred_fit"
60,"What brands fit you particularly well?","SHOPPING","brands_fit_well"
61,"What are your comfort must-haves in clothing?","SHOPPING","comfort_features"
62,"What cuts or shapes do you avoid?","SHOPPING","cuts_shapes_to_avoid"
63,"Do you have any fabric sensitivities?","SHOPPING","sensitivity_notes"
64,"What do you mainly buy clothes for (work, casual, sports, formal)?","SHOPPING","main_use_cases"
65,"How often do you buy clothes?","SHOPPING","purchase_frequency_by_use_case"
66,"What are your functional must-haves in products?","SHOPPING","key_functional_traits"
67,"What brands make up your current wardrobe?","SHOPPING","existing_ecosystem"
68,"How often do you upgrade tech or gear?","SHOPPING","tech_upgrade_cadence"
69,"How do you discover new products?","SHOPPING","discovery_channels"
70,"What brands align with your values?","SHOPPING","value_aligned_brands"
71,"What brand stories resonate with you?","SHOPPING","appealing_brand_stories"
72,"What practices or materials do you avoid when shopping?","SHOPPING","avoid_practices_materials"
73,"How important is local or ethical production to you (high, medium, low)?","SHOPPING","local_ethic_priority"
74,"Do you actively support small or new brands?","SHOPPING","prioritize_emerging_brands"
75,"What certifications are important to you?","SHOPPING","preferred_certifications"
76,"What is your budget for everyday clothes?","SHOPPING","price_range_everyday_clothing"
77,"What is your budget for shoes?","SHOPPING","price_range_shoes"
78,"What is your budget for tech products?","SHOPPING","price_range_tech"
79,"Do you prefer quality or quantity when shopping?","SHOPPING","quality_vs_quantity"
80,"What makes a product worth its price to you?","SHOPPING","worth_it_criteria"
81,"Where do you live (city/region)?","SHOPPING","primary_location"
82,"What is the typical weather where you live?","SHOPPING","typical_weather"
83,"How often do you travel?","SHOPPING","travel_habits"
84,"What is your daily routine like?","SHOPPING","daily_rhythm"
85,"What environmental factors affect your clothing choices?","SHOPPING","environmental_constraints"
86,"How would you describe your lifestyle (active, sedentary, mixed)?","SHOPPING","lifestyle_habits"
87,"Do you make quick shopping decisions or do extensive research?","SHOPPING","decision_style"
88,"How many options do you typically compare before buying?","SHOPPING","typical_comparison_set_size"
89,"Do you prefer a curated selection or wide choice when shopping?","SHOPPING","curation_preference"
90,"How often do you return purchases?","SHOPPING","return_rate_sentiment"
91,"What triggers you to make a purchase?","SHOPPING","purchase_triggers"
92,"How much do reviews influence your shopping decisions?","SHOPPING","review_influence_level"
93,"Do you prefer shopping online or in-store?","SHOPPING","shopping_mode_preference"
94,"How should the shopping experience feel to you?","SHOPPING","desired_purchase_emotions"
95,"Do you prioritize product story or function?","SHOPPING","story_vs_function_bias"
96,"What are your packaging preferences?","SHOPPING","packaging_preferences"
97,"What was your best purchase ever?","SHOPPING","most_memorable_purchase"
98,"What are your most common purchase regrets?","SHOPPING","most_common_regret"
99,"What makes a purchase perfect for you?","SHOPPING","perfect_buy_definition"
100,"How do you approach trend-following (always on-trend, selectively, classic style)?","SHOPPING","trend_following_approach"
101,"What emotions do you feel most often?","EMOTIONS","core_emotions_felt_often"
102,"How do you show your emotions?","EMOTIONS","emotional_expression_style"
103,"How comfortable are you talking about emotions (high, medium, low)?","EMOTIONS","emotional_language_strength"
104,"How comfortable are you with vulnerability (high, medium, low)?","EMOTIONS","comfort_with_vulnerability"
105,"What is your overall emotional tone?","EMOTIONS","dominant_emotional_tone"
106,"What is your relationship with emotions (embrace or avoid)?","EMOTIONS","relationship_with_emotions"
107,"How would you describe your daily mood range (stable or varied)?","EMOTIONS","typical_daily_mood_range"
108,"Does your energy affect your mood or vice versa?","EMOTIONS","energy_vs_emotion_pattern"
109,"What lifts your mood?","EMOTIONS","emotional_triggers_positive"
110,"What brings you down?","EMOTIONS","emotional_triggers_negative"
111,"How do you cope with stress?","EMOTIONS","coping_mechanisms"
112,"How quickly do you recover from emotional setbacks (fast or slow)?","EMOTIONS","emotional_recovery_speed"
113,"How strong is your need for connection (high, medium, low)?","EMOTIONS","need_for_connection"
114,"How strong is your need for stability (high, medium, low)?","EMOTIONS","need_for_stability"
115,"How strong is your need for excitement (high, medium, low)?","EMOTIONS","need_for_excitement_or_novelty"
116,"How strong is your need for recognition (high, medium, low)?","EMOTIONS","need_for_recognition"
117,"How strong is your need for safety (high, medium, low)?","EMOTIONS","need_for_safety"
118,"How strong is your need for independence (high, medium, low)?","EMOTIONS","need_for_autonomy"
119,"How do you prefer to express yourself?","EMOTIONS","preferred_forms_of_expression"
120,"What are your emotional outlets?","EMOTIONS","creative_or_physical_outlets"
121,"How do you share your feelings (openly, selectively, rarely)?","EMOTIONS","communication_of_feelings"
122,"How aware are you of body language (high, medium, low)?","EMOTIONS","body_language_awareness"
123,"Do you tend to suppress or share emotions?","EMOTIONS","tendency_to_suppress_or_share"
124,"What are your emotional release rituals?","EMOTIONS","rituals_for_emotional_release"
125,"What is your typical stress response?","EMOTIONS","stress_response_pattern"
126,"What are your main sources of stress?","EMOTIONS","main_sources_of_stress"
127,"What are your stress management strategies?","EMOTIONS","stress_management_strategies"
128,"What builds resilience for you?","EMOTIONS","resilience_triggers"
129,"What comforts you when you need it?","EMOTIONS","comfort_sources"
130,"What burnout signs do you notice in yourself?","EMOTIONS","burnout_signs"
131,"How would you rate your self-awareness (high, medium, low)?","EMOTIONS","self_awareness_level"
132,"How would you rate your empathy level (high, medium, low)?","EMOTIONS","empathy_toward_others"
133,"Can you name and label emotions easily?","EMOTIONS","ability_to_label_emotions"
134,"How would you rate your emotion regulation (strong, moderate, needs work)?","EMOTIONS","emotional_regulation_skill"
135,"How easily can you read others\' emotions (easily, sometimes, rarely)?","EMOTIONS","pattern_recognition_in_others"
136,"What are your emotional development goals?","EMOTIONS","emotional_learning_goals"
137,"What are your main sources of joy?","EMOTIONS","sources_of_joy"
138,"When do you feel most calm?","EMOTIONS","moments_of_calm"
139,"What reduces your wellbeing?","EMOTIONS","factors_that_reduce_wellbeing"
140,"What are your gratitude practices?","EMOTIONS","gratitude_practices"
141,"How do you define happiness?","EMOTIONS","definition_of_happiness"
142,"What is your strategy for emotional balance?","EMOTIONS","emotional_balance_strategy"
143,"What recent emotional insights have you had?","EMOTIONS","recent_emotional_realizations"
144,"What has been your most dominant feeling lately?","EMOTIONS","most_common_feeling_lately"
145,"What emotions do you want to experience more of?","EMOTIONS","emotions_you_want_to_experience_more"
146,"What emotions do you tend to avoid?","EMOTIONS","emotions_you_avoid"
147,"What do your emotions teach you?","EMOTIONS","what_your_emotions_teach_you"
148,"How do emotions shape your identity?","EMOTIONS","relationship_between_emotion_and_identity"
149,"Who or what is your emotional support system?","EMOTIONS","emotional_support_system"
150,"How do you set emotional boundaries?","EMOTIONS","emotional_boundaries"
151,"What is your current job title or role?","WORK","current_role"
152,"What industry do you work in?","WORK","industry"
153,"What type and size of company do you work for?","WORK","company_or_organization"
154,"What is your team size?","WORK","workplace_size"
155,"How many years of professional experience do you have?","WORK","years_of_experience"
156,"What are your top 3 professional strengths?","WORK","professional_strengths"
157,"What are your most important career values?","WORK","career_values"
158,"What are your short-term career goals?","WORK","short_term_goals"
159,"What are your long-term career goals?","WORK","long_term_goals"
160,"What is your dream job?","WORK","career_dreams"
161,"What motivates you at work?","WORK","motivation_for_work"
162,"How do you define professional success?","WORK","definition_of_success"
163,"Who or what inspires you professionally?","WORK","career_inspirations"
164,"What are your typical work hours?","WORK","typical_work_hours"
165,"What is your preferred work start time?","WORK","preferred_start_time"
166,"What is your break frequency and style during work?","WORK","break_patterns"
167,"When is your peak focus time during the day?","WORK","focus_energy_cycles"
168,"What is your workload capacity (high, medium, low)?","WORK","workload_tolerance"
169,"How would you describe your ideal workday?","WORK","ideal_workday_description"
170,"What is your collaboration style (solo, team, mix)?","WORK","collaboration_style"
171,"What are your preferred communication methods (meetings, email, chat, calls)?","WORK","communication_preferences"
172,"What is your meeting tolerance (high, medium, low)?","WORK","meeting_tolerance_level"
173,"How do you prefer to receive feedback (direct, gentle, written, verbal)?","WORK","feedback_preference"
174,"What team size do you prefer working with?","WORK","team_dynamics_preference"
175,"What are your preferred communication tools?","WORK","preferred_tools_for_communication"
176,"What is your project management approach (structured, flexible, agile)?","WORK","project_management_style"
177,"What productivity system do you use?","WORK","preferred_productivity_system"
178,"What are your essential work tools or apps?","WORK","favorite_work_apps_or_tools"
179,"How would you describe your organization style (neat, chaotic, functional)?","WORK","file_organization_habits"
180,"What AI or automation tools do you use at work?","WORK","automation_or_ai_tools_used"
181,"How do you manage distractions at work?","WORK","distraction_management_strategies"
182,"What is your leadership style?","WORK","leadership_style"
183,"Are you a mentor, mentee, or both?","WORK","mentorship_roles"
184,"What are your work-related learning priorities?","WORK","learning_priorities_for_work"
185,"What is your decision-making style (quick, thorough, collaborative)?","WORK","decision_making_style"
186,"How comfortable are you with change (high, medium, low)?","WORK","change_management_comfort"
187,"What are your growth mindset practices?","WORK","growth_mindset_practices"
188,"What is your preferred work location (office, remote, hybrid)?","WORK","preferred_work_location"
189,"How would you describe your home office setup?","WORK","home_office_setup"
190,"What office environment do you prefer (quiet, busy, collaborative)?","WORK","office_environment_preferences"
191,"How often do you travel for work?","WORK","travel_frequency_for_work"
192,"What is your commute preference?","WORK","commute_preference"
193,"What is your ideal workspace vibe?","WORK","ideal_workspace_vibe"
194,"How do you feel about your work?","WORK","feelings_toward_work"
195,"When do you experience flow at work?","WORK","moments_of_flow"
196,"What are your biggest work-related stressors?","WORK","biggest_sources_of_stress"
197,"What are your proudest work moments?","WORK","most_proud_work_moments"
198,"How do you define work-life balance?","WORK","work_life_balance_definition"
199,"What purpose do you find in your work?","WORK","purpose_you_find_in_work"
200,"What are your professional development priorities?","WORK","professional_development_priorities"
201,"What is your diet type (omnivore, vegetarian, vegan, other)?","NUTRITION","overall_diet_type"
202,"What is your eating philosophy?","NUTRITION","eating_philosophy"
203,"Do you have any dietary restrictions?","NUTRITION","dietary_restrictions"
204,"Do you have any food allergies?","NUTRITION","allergies"
205,"Do you have ethical or religious food rules?","NUTRITION","ethical_or_religious_considerations"
206,"What are your nutrition goals?","NUTRITION","nutrition_goals"
207,"How flexible is your diet (strict, moderate, flexible)?","NUTRITION","flexibility_level"
208,"How many meals do you eat per day?","NUTRITION","meal_frequency"
209,"What time do you usually eat breakfast?","NUTRITION","usual_breakfast_time"
210,"What time do you usually eat lunch?","NUTRITION","usual_lunch_time"
211,"What time do you usually eat dinner?","NUTRITION","usual_dinner_time"
212,"What are your snacking habits?","NUTRITION","snack_patterns"
213,"Do you eat late at night (yes, no, sometimes)?","NUTRITION","late_night_eating_habit"
214,"What are your favorite cuisines?","NUTRITION","favorite_cuisines"
215,"What are your favorite dishes?","NUTRITION","favorite_dishes"
216,"What flavor profiles do you prefer (sweet, salty, spicy, sour)?","NUTRITION","preferred_flavors"
217,"What foods do you dislike?","NUTRITION","disliked_foods"
218,"What are your comfort foods?","NUTRITION","comfort_foods"
219,"How often do you try new foods (always, sometimes, rarely)?","NUTRITION","experimental_openness"
220,"What beverages do you drink daily?","NUTRITION","daily_drinks"
221,"Do you prefer coffee, tea, or both?","NUTRITION","coffee_or_tea_preference"
222,"How often do you drink alcohol (regularly, socially, rarely, never)?","NUTRITION","alcohol_consumption_pattern"
223,"How much water do you drink per day?","NUTRITION","hydration_habits"
224,"What are your favorite non-alcoholic drinks?","NUTRITION","favorite_non_alcoholic_drinks"
225,"What beverages do you avoid?","NUTRITION","avoid_beverages"
226,"How often do you cook (daily, weekly, rarely, never)?","NUTRITION","cooking_frequency"
227,"What are your preferred cooking methods?","NUTRITION","preferred_cooking_methods"
228,"What is your cooking skill level (beginner, intermediate, advanced)?","NUTRITION","skill_level"
229,"What are your favorite ingredients to cook with?","NUTRITION","favorite_ingredients"
230,"What are your essential kitchen tools?","NUTRITION","kitchen_equipment_priority"
231,"How often do you order takeout?","NUTRITION","takeout_frequency"
232,"How do you connect food and fitness?","NUTRITION","fitness_connection"
233,"What supplements do you take?","NUTRITION","supplement_routine"
234,"Do you track your food intake (yes, no, sometimes)?","NUTRITION","tracking_methods"
235,"How much priority do you give to gut health (high, medium, low)?","NUTRITION","gut_health_focus"
236,"How does food affect your energy levels?","NUTRITION","energy_level_patterns"
237,"What food sensitivities are you aware of?","NUTRITION","food_sensitivity_awareness"
238,"How often do you grocery shop?","NUTRITION","grocery_frequency"
239,"What are your preferred grocery stores or brands?","NUTRITION","preferred_supermarkets_or_brands"
240,"How important is organic food to you (high, medium, low)?","NUTRITION","organic_preference"
241,"What is your weekly food budget?","NUTRITION","budget_per_week"
242,"Do you grocery shop online, in-store, or both?","NUTRITION","online_vs_offline_shopping"
243,"How important is local or sustainable sourcing (high, medium, low)?","NUTRITION","food_sourcing_priority"
244,"What emotional triggers lead you to eat?","NUTRITION","emotional_triggers_for_eating"
245,"Do you use food as a reward or relaxation (yes, no, sometimes)?","NUTRITION","food_as_reward_or_relaxation"
246,"What was your most memorable meal?","NUTRITION","most_memorable_meal"
247,"Do you stress eat (yes, no, sometimes)?","NUTRITION","stress_eating_tendency"
248,"What are your mindful eating practices?","NUTRITION","mindful_eating_practices"
249,"How do you define a good meal?","NUTRITION","definition_of_good_meal"
250,"How do you approach meal planning?","NUTRITION","meal_planning_habits"
251,"What is your typical sleep schedule?","HEALTH","sleep_pattern"
252,"How many hours of sleep do you need?","HEALTH","sleep_hours"
253,"How would you rate your sleep quality (good, fair, poor)?","HEALTH","sleep_quality"
254,"How often do you exercise?","HEALTH","exercise_routine"
255,"What type of exercise do you do (cardio, strength, yoga, mix)?","HEALTH","exercise_type"
256,"How long do you exercise per session?","HEALTH","exercise_duration"
257,"What are your fitness goals?","HEALTH","fitness_goals"
258,"What are your top health priorities?","HEALTH","health_priorities"
259,"Do you have any chronic health conditions?","HEALTH","chronic_conditions"
260,"What regular medications do you take?","HEALTH","medications_regular"
261,"What daily supplements do you take?","HEALTH","supplements"
262,"Do you track health metrics?","HEALTH","health_tracking"
263,"How many times do you visit the doctor per year?","HEALTH","doctor_visit_frequency"
264,"What are your preventive care habits?","HEALTH","preventive_care"
265,"What are your mental health practices?","HEALTH","mental_health_practices"
266,"What is your typical stress level (high, medium, low)?","HEALTH","stress_level"
267,"What are your typical energy levels (high, medium, low)?","HEALTH","energy_levels"
268,"How aware are you of your body signals (high, medium, low)?","HEALTH","body_signals_awareness"
269,"Do you have any chronic pain areas?","HEALTH","pain_areas"
270,"Do you have any mobility limitations?","HEALTH","mobility_issues"
271,"Do you have any vision or hearing needs?","HEALTH","vision_hearing"
272,"How high is dental health on your priority list (high, medium, low)?","HEALTH","dental_health"
273,"What is your skincare routine?","HEALTH","skin_care_routine"
274,"How much water do you drink daily?","HEALTH","water_intake"
275,"How much caffeine do you consume daily?","HEALTH","caffeine_consumption"
276,"What are your alcohol limits?","HEALTH","alcohol_limits"
277,"What is your smoking status (yes, no, former)?","HEALTH","smoking_status"
278,"How much screen time do you have daily?","HEALTH","screen_time"
279,"How much time do you spend outdoors per day?","HEALTH","outdoor_time"
280,"What are your recovery priorities?","HEALTH","recovery_priorities"
281,"What is your health anxiety level (high, medium, low)?","HEALTH","health_anxiety"
282,"What is your monthly wellness budget?","HEALTH","wellness_budget"
283,"What is your health insurance coverage?","HEALTH","health_insurance"
284,"Do you use alternative medicine?","HEALTH","alternative_medicine"
285,"What are your body goals?","HEALTH","body_goals"
286,"How would you rate your immune system health?","HEALTH","immune_system_health"
287,"Do you have any allergies?","HEALTH","allergy_situation"
288,"How is your digestive health?","HEALTH","digestive_health"
289,"Do you have any hormonal health concerns?","HEALTH","hormonal_health"
290,"How is your cardiovascular health?","HEALTH","heart_health"
291,"How is your respiratory health?","HEALTH","respiratory_health"
292,"How is your bone health?","HEALTH","bone_health"
293,"How aware are you of your posture?","HEALTH","posture_awareness"
294,"Do you have a stretching routine?","HEALTH","stretching_routine"
295,"What is your injury history?","HEALTH","injury_history"
296,"How often do you get comprehensive health check-ups?","HEALTH","health_check_frequency"
297,"How do you educate yourself about health?","HEALTH","health_education"
298,"Who are your health role models?","HEALTH","health_role_models"
299,"What practices do you follow for longevity?","HEALTH","longevity_practices"
300,"What health transformations are you working towards?","HEALTH","health_transformation_goals"
301,"How do you view your past (nostalgic, neutral, prefer present)?","MEMORY","relationship_with_past"
302,"How important are memories to you (high, medium, low)?","MEMORY","attitude_toward_memory"
303,"How often do you feel nostalgic (often, sometimes, rarely)?","MEMORY","emotional_connection_to_nostalgia"
304,"What is your perspective on change (embrace, accept, resist)?","MEMORY","view_on_time_and_change"
305,"How do you tell stories (detailed, brief, visual)?","MEMORY","storytelling_style"
306,"What are common triggers for your memories?","MEMORY","memory_triggers"
307,"What is your favorite childhood memory?","MEMORY","childhood_memories"
308,"What was your defining moment as a teenager?","MEMORY","adolescent_formative_experiences"
309,"What was your defining moment as an adult?","MEMORY","adulthood_defining_moments"
310,"What is your proudest achievement?","MEMORY","career_or_achievement_highlights"
311,"What is the biggest lesson you have learned?","MEMORY","transformative_failures_or_lessons"
312,"What was a moment when everything clicked for you?","MEMORY","moments_of_awakening"
313,"Who is the most influential person in your life?","MEMORY","most_influential_people"
314,"What is a shared memory you treasure?","MEMORY","memories_shared_with_loved_ones"
315,"What loss has shaped who you are?","MEMORY","losses_that_shaped_you"
316,"Who was a key mentor in your life?","MEMORY","mentors_or_role_models"
317,"What is a treasured friendship moment?","MEMORY","friendship_moments_you_value"
318,"What relationship transition had the biggest impact on you?","MEMORY","relationship_transitions"
319,"Where was your childhood home?","MEMORY","childhood_places"
320,"What place shaped who you are?","MEMORY","cities_or_countries_that_shaped_you"
321,"What is your favorite place from the past?","MEMORY","favorite_places_from_past"
322,"What place feels like home to you?","MEMORY","places_associated_with_calm_or_home"
323,"What is a memorable travel moment?","MEMORY","memories_linked_to_travel"
324,"What smell or sound triggers memories for you?","MEMORY","environmental_sensory_triggers"
325,"What is a sentimental object you keep?","MEMORY","sentimental_objects"
326,"Do you have a family heirloom?","MEMORY","family_heirlooms_or_symbols"
327,"What song or art evokes strong memories?","MEMORY","music_or_art_that_evokes_memory"
328,"What digital memories do you save?","MEMORY","digital_memories_saved"
329,"Do you keep journals or personal archives?","MEMORY","personal_archives_or_journals"
330,"What photograph defines you or your life?","MEMORY","photographs_that_define_you"
331,"What is your happiest memory?","MEMORY","happiest_memories"
332,"What was your toughest moment?","MEMORY","most_challenging_moments"
333,"What is a loving memory you cherish?","MEMORY","memories_of_love_and_connection"
334,"What is a difficult memory you carry?","MEMORY","memories_of_fear_or_loss"
335,"What themes repeat in your memories?","MEMORY","themes_that_repeat_in_memory"
336,"What memory have you reframed or healed?","MEMORY","healing_or_reframed_memories"
337,"What is a key life lesson from your past?","MEMORY","lessons_from_past"
338,"How do you revisit old memories (photos, stories, places)?","MEMORY","how_you_revisit_old_memories"
