Nr.,Question,Answer Type,Answer Options,Main Category,SubCategory,SubCategory Key
266,How often do you use social media per day?,Single Choice,"Rarely, Several times, Constantly",Media,Social,media_social
267,How do you deal with screen time?,Single Choice,"Consciously limit, Don't think about it, No limits",Technology,Devices,technology_devices
268,How important is data privacy to you with digital services?,Scale,"1, 2, 3, 4, 5",Technology,Innovation,technology_innovation
269,How do you learn best?,Single Choice,"Reading, Videos, Hands-on, Listening",Learning,Style,learning_style
270,Are you more self-taught or structure-oriented?,Single Choice,"Self-taught, Structured, Mix",Learning,Style,learning_style
271,What skill would you like to learn next?,Freitext,,Learning,Topics,learning_topics
272,How do you define professional success for yourself?,Freitext,,Career,Goals,career_goals
273,Do you work better in a team or alone?,Single Choice,"Team, Alone, Situational",Work,Collaboration,work_collaboration
274,How do you deal with stress?,Single Choice,"Exercise, Talk, Avoid, Stay calm",Health,Stress,health_stress
275,How do you plan your day?,Single Choice,"Flexible, Spontaneous, Structured",Productivity,Time,productivity_time
276,Are you more planner or improviser?,Single Choice,"Planner, Improviser, Both",Personality,Behavior,personality_behavior
277,How important is sustainability in your daily life?,Scale,"1, 2, 3, 4, 5",Sustainability,Awareness,sustainability_awareness
278,Do you shop locally or online?,Single Choice,"Mix, Local, Online",Shopping,Preferences,shopping_preferences
279,Do you focus on brands or price when shopping?,Single Choice,"Mix, Brand, Price",Shopping,Habits,shopping_habits
280,How much do reviews influence your purchase decisions?,Scale,"1, 2, 3, 4, 5",Behavior,Purchase,behavior_purchase
281,What role does fashion play in your daily life?,Single Choice,"Important, Medium, Unimportant",Fashion,Style,fashion_style
282,How important is physical health to you?,Scale,"1, 2, 3, 4, 5",Health,Physical,health_physical
283,Do you consciously pay attention to nutrition?,Single Choice,"Hardly, Partially, Very much",Nutrition,Diet,nutrition_diet
284,How often do you meditate or consciously reflect?,Single Choice,"Daily, Occasionally, Rarely",Recovery,Mindfulness,recovery_mindfulness
285,How would you describe your energy level in daily life?,Single Choice,"Balanced, High, Low",Health,Energy,health_energy
286,How do you deal with changes?,Single Choice,"Open, Hesitant, Depends",Mindset,Resilience,mindset_resilience
287,What quality do others appreciate most about you?,Freitext,,Personality,Strengths,personality_strengths
288,What would you like to improve about yourself?,Freitext,,Personality,Weaknesses,personality_weaknesses
289,How do you react when plans don't work out?,Single Choice,"Replan, Frustrated, Calm",Mindset,Resilience,mindset_resilience
290,What gives you a feeling of security?,Freitext,,Emotions,Triggers,emotions_triggers
291,What role does friendship play in your life?,Scale,"1, 2, 3, 4, 5",Friends,Trust,friends_trust
292,How do you maintain relationships with family and friends?,Freitext,,Friends,Activities,friends_activities
293,What is your biggest dream or life goal?,Freitext,,Goals,LongTerm,goals_longterm
294,How do you imagine your life in 10 years?,Freitext,,Goals,LongTerm,goals_longterm
295,What does a good life mean to you?,Freitext,,Values,Purpose,values_purpose
296,How often do you use AI tools in daily life?,Single Choice,"Daily, Occasionally, Never",Technology,AI,technology_ai
297,For what tasks do you use AI most?,Freitext,,Technology,AI,technology_ai
298,What do you think about smart home devices?,Single Choice,"Enthusiastic, Neutral, Skeptical",Technology,Automation,technology_automation
299,"Do you have wearables (e.g., smartwatch, fitness tracker)?",Either / Or,"Yes, No",Technology,Devices,technology_devices
300,How much do you trust digital assistants?,Scale,"1, 2, 3, 4, 5",Technology,AI,technology_ai
301,How often do you take digital breaks (digital detox)?,Single Choice,"Daily, Weekly, Rarely",Technology,Devices,technology_devices
302,How do you organize your tasks?,Single Choice,"Apps, Lists, Mental notes, No system",Productivity,Systems,productivity_systems
303,What motivates you most to get up in the morning?,Freitext,,Personality,Motivation,personality_motivation
304,What sounds make you happy?,Freitext,,Emotions,Triggers,emotions_triggers
305,How do you deal with boredom?,Single Choice,"Go outside, Get creative, Distraction, Just wait",Emotions,Regulation,emotions_regulation
306,How important is sleep quality to you?,Scale,"1, 2, 3, 4, 5",Health,Sleep,health_sleep
307,How long do you sleep on average per night?,Single Choice,"<6h, 6-8h, >8h",Health,Sleep,health_sleep
308,Do you like to cook yourself?,Either / Or,"Yes, No",Nutrition,Cooking,nutrition_cooking
309,Do you smoke or vape?,Either / Or,"Yes, No",Health,Physical,health_physical
310,How often do you go to the doctor for checkups?,Single Choice,"Regularly, When needed, Rarely",Health,Physical,health_physical
311,Do you pay attention to mental health?,Scale,"1, 2, 3, 4, 5",Health,Mental,health_mental
312,How do you react to criticism?,Single Choice,"Discuss, Hurt, Calm",Personality,Behavior,personality_behavior
313,How do you make decisions on important topics?,Single Choice,"Mix, Intuitively, Rationally",Personality,Behavior,personality_behavior
314,What gives you a feeling of freedom?,Freitext,,Emotions,Triggers,emotions_triggers
315,How important is self-determination to you?,Scale,"1, 2, 3, 4, 5",Values,Priorities,values_priorities
316,How would you assess your willingness to take risks?,Scale,"1, 2, 3, 4, 5",Personality,Behavior,personality_behavior
317,How do you deal with failures?,Freitext,,Mindset,Resilience,mindset_resilience
318,How important is humor in life?,Scale,"1, 2, 3, 4, 5",Personality,Traits,personality_traits
319,Which film describes your humor best?,Freitext,,Movies,Favorites,movies_favorites
320,Which series would you recommend to everyone?,Freitext,,Movies,Series,movies_series
321,How do you discover new music or artists?,Single Choice,"Algorithms, Recommendations, Friends, Chance",Music,Artists,music_artists
322,Do you like to attend concerts or festivals?,Either / Or,"Yes, No",Music,Concerts,music_concerts
323,How often do you read books or magazines?,Single Choice,"Daily, Weekly, Rarely",Books,Genres,books_genres
324,Do you have a favorite podcast?,Freitext,,Media,Podcasts,media_podcasts
325,How often do you use streaming services per week?,Single Choice,"Daily, Several times, Rarely",Movies,Streaming,movies_streaming
326,Which social media platform do you use most?,Single Choice,"Instagram, Facebook, LinkedIn, X, TikTok",Media,Social,media_social
327,Do you prefer news or infotainment formats?,Single Choice,"News, Podcast, Documentary, Clips",Media,News,media_news
328,How much do online trends influence you?,Scale,"1, 2, 3, 4, 5",Media,Social,media_social
329,Which season inspires you creatively most?,Freitext,,Creativity,Inspiration,creativity_inspiration
330,How would you describe your creative style?,Freitext,,Creativity,Expression,creativity_expression
331,What project would you like to realize someday?,Freitext,,Creativity,Making,creativity_making
332,What hobbies did you have as a child?,Freitext,,Identity,Background,identity_background
333,What childhood memory makes you happy?,Freitext,,Identity,Background,identity_background
334,How important is family to you?,Scale,"1, 2, 3, 4, 5",Family,Support,family_support
335,How often do you meet close friends?,Single Choice,"Daily, Weekly, Monthly, Rarely",Friends,Activities,friends_activities
336,How do you meet new people?,Single Choice,"Events, Online, Through friends, Spontaneously",Friends,Circle,friends_circle
337,How do you deal with conflicts?,Single Choice,"Talk openly, Withdraw, Compromise",Behavior,Social,behavior_social
338,What does trust mean to you?,Freitext,,Values,Ethics,values_ethics
339,What is your biggest learning from relationships?,Freitext,,Friends,Trust,friends_trust
340,How do you deal with loneliness?,Freitext,,Emotions,Regulation,emotions_regulation
341,How would you describe your humor?,Freitext,,Personality,Traits,personality_traits
342,Which app could you not delete?,Freitext,,Technology,Software,technology_software
343,How important is design in digital products?,Scale,"1, 2, 3, 4, 5",Design,UX,design_ux
344,How do you deal with notifications?,Single Choice,"Organized, Always on, Deactivated",Technology,Devices,technology_devices
345,Do you use dark or light mode?,Single Choice,"Dark, Light, Auto",Technology,Software,technology_software
346,How important is privacy on the internet?,Scale,"1, 2, 3, 4, 5",Technology,Innovation,technology_innovation
347,Do you read terms and conditions or privacy policies?,Single Choice,"Yes, Sometimes, Never",Technology,Innovation,technology_innovation
348,How do you react to online advertising?,Single Choice,"Interested, Click often, Ignore",Media,Social,media_social
349,Do you support small brands or large companies?,Single Choice,"Both, Small brands, Large companies",Brands,Loyalty,brands_loyalty
350,Do you pay with cash or digitally?,Single Choice,"Mix, Cash, Digital",Shopping,Habits,shopping_habits
351,How do you deal with money?,Single Choice,"Balanced, Frugal, Enjoyment-oriented",Shopping,Budget,shopping_budget
352,Do you save regularly?,Either / Or,"Yes, No",Shopping,Budget,shopping_budget
353,What small things make your home 'yours'?,Freitext,,Home,Interior,home_interior
354,What smells give you a sense of security?,Freitext,,Home,Atmosphere,home_atmosphere
355,What activity makes you lose track of time?,Freitext,,Productivity,Flow,productivity_flow
356,How do you deal with routine?,Single Choice,"Love it, Neutral, Boring",Habits,Productivity,habits_productivity
357,How much structure do you need in life?,Scale,"1, 2, 3, 4, 5",Personality,Behavior,personality_behavior
358,How important is spontaneity to you?,Scale,"1, 2, 3, 4, 5",Personality,Behavior,personality_behavior
359,What three things make you happy in daily life?,List,,Emotions,Mood,emotions_mood
360,What activity gives you energy when you're tired?,Freitext,,Health,Energy,health_energy
361,When do you feel productive?,Freitext,,Productivity,Flow,productivity_flow
362,How do you deal with interruptions?,Single Choice,"Calm, Annoyed, Welcome distraction",Work,Environment,work_environment
363,How often do you multitask?,Single Choice,"Constantly, Occasionally, Never",Work,Projects,work_projects
364,What distracts you most at work?,Freitext,,Work,Environment,work_environment
365,When are you most creative—morning or evening?,Single Choice,"Morning, Evening, No pattern",Creativity,Ideas,creativity_ideas
366,How does your perfectionism manifest?,Freitext,,Personality,Weaknesses,personality_weaknesses
367,How do you deal with expectations from others?,Freitext,,Emotions,Regulation,emotions_regulation
368,What inspires you about other people?,Freitext,,Personality,Motivation,personality_motivation
369,When did you last feel truly understood?,Freitext,,Friends,Trust,friends_trust
370,What habit would you like to get rid of?,Freitext,,Habits,Health,habits_health
371,What new habit would you like to build?,Freitext,,Habits,Productivity,habits_productivity
372,How much does music influence your decisions?,Scale,"1, 2, 3, 4, 5",Music,Genres,music_genres
373,What color describes your mood today?,Freitext,,Emotions,Mood,emotions_mood
374,"If your life were a soundtrack, what would the album be called?",Freitext,,Music,Playlists,music_playlists
375,How important is style in your daily life?,Scale,"1, 2, 3, 4, 5",Fashion,Style,fashion_style
376,What kind of art would you create yourself?,Freitext,,Art,Expression,art_expression
377,How do you deal with other people's opinions?,Single Choice,"Self-confident, Reflective, Insecure",Personality,Traits,personality_traits
378,How would you describe your relationship with money?,Freitext,,Shopping,Budget,shopping_budget
379,When do you feel financially secure?,Freitext,,Shopping,Budget,shopping_budget
380,What is luxury for you?,Freitext,,Values,Priorities,values_priorities
381,How important is status in your life?,Scale,"1, 2, 3, 4, 5",Values,Priorities,values_priorities
382,How often do you consciously treat yourself?,Single Choice,"Often, Sometimes, Rarely",Lifestyle,Choices,lifestyle_choices
383,How do you deal with digital distractions?,Freitext,,Technology,Devices,technology_devices
384,How is your screen time?,Single Choice,"High, Medium, Low",Technology,Devices,technology_devices
385,When do you feel digitally overwhelmed?,Freitext,,Technology,Devices,technology_devices
386,How do you consume news?,Single Choice,"Classic, Social Media, Audio, Hardly",Media,News,media_news
387,When do you feel well-informed?,Freitext,,Media,News,media_news
388,What social issues move you most?,Freitext,,Values,Ethics,values_ethics
389,How important is political engagement to you?,Scale,"1, 2, 3, 4, 5",Community,Contribution,community_contribution
390,Where do you see the biggest challenges of our time?,Freitext,,Values,Ethics,values_ethics
391,How do you define success beyond career?,Freitext,,Values,Purpose,values_purpose
392,What does community mean to you?,Freitext,,Community,SharedValues,community_sharedvalues
393,How do you deal with silence?,Single Choice,"Enjoy it, Uncomfortable, Depends",Emotions,Regulation,emotions_regulation
394,How would you describe your inner dialogue?,Freitext,,Emotions,Expression,emotions_expression
395,What small things in daily life make you grateful?,Freitext,,Emotions,Empathy,emotions_empathy
396,How often do you reflect on your day?,Single Choice,"Morning, Evening, Spontaneous, Never",Habits,Evening,habits_evening
397,Do you have a ritual for switching off?,Freitext,,Recovery,Relaxation,recovery_relaxation
398,What helps you let go?,Freitext,,Recovery,Mindfulness,recovery_mindfulness
399,What values would you like to pass on?,Freitext,,Values,Ethics,values_ethics
400,What have you learned from mistakes?,Freitext,,Mindset,Growth,mindset_growth
401,What's your favorite way to start a conversation?,Freitext,,Behavior,Social,behavior_social
402,Do you prefer text messages or phone calls?,Single Choice,"Text, Calls, Video calls",Technology,Devices,technology_devices
403,What's your favorite time of day?,Freitext,,Time,Morning,time_morning
404,How do you celebrate your achievements?,Freitext,,Emotions,Expression,emotions_expression
405,What's your relationship with technology?,Freitext,,Technology,Innovation,technology_innovation
406,Do you believe in work-life integration or separation?,Single Choice,"Integration, Separation, Balance",Work,Environment,work_environment
407,What's your favorite way to learn something new?,Freitext,,Learning,Style,learning_style
408,How do you recharge after social interactions?,Freitext,,Recovery,Relaxation,recovery_relaxation
409,What kind of jokes make you laugh?,Freitext,,Personality,Traits,personality_traits
410,Do you prefer structure or flexibility in your schedule?,Single Choice,"Structure, Flexibility, Mix",Productivity,Time,productivity_time
411,What's your favorite form of self-care?,Freitext,,Health,Mental,health_mental
412,How do you handle unexpected opportunities?,Freitext,,Mindset,Attitude,mindset_attitude
413,What's your ideal work schedule?,Freitext,,Work,Environment,work_environment
414,Do you prefer books or audiobooks?,Single Choice,"Books, Audiobooks, Both",Books,Genres,books_genres
415,What's your favorite way to spend a rainy day?,Freitext,,Lifestyle,Routine,lifestyle_routine
416,How do you make new friends?,Freitext,,Friends,Circle,friends_circle
417,What's your relationship with your phone?,Freitext,,Technology,Devices,technology_devices
418,Do you set New Year's resolutions?,Either / Or,"Yes, No",Goals,Personal,goals_personal
419,What's your favorite childhood game?,Freitext,,Identity,Background,identity_background
420,How do you handle decision fatigue?,Freitext,,Emotions,Regulation,emotions_regulation
421,What's your favorite way to connect with nature?,Freitext,,Nature,Connection,nature_connection
422,Do you journal or write regularly?,Either / Or,"Yes, No",Habits,Evening,habits_evening
423,What's your favorite type of conversation?,Freitext,,Behavior,Social,behavior_social
424,How do you approach difficult conversations?,Freitext,,Behavior,Social,behavior_social
425,What's your favorite memory from the past year?,Freitext,,Emotions,Mood,emotions_mood
426,Do you prefer sunrise or sunset?,Single Choice,"Sunrise, Sunset",Nature,Outdoor,nature_outdoor
427,What's your favorite way to stay informed?,Freitext,,Media,News,media_news
428,How do you define balance in life?,Freitext,,Values,Purpose,values_purpose
429,What's your relationship with social media?,Freitext,,Media,Social,media_social
430,Do you prefer working with deadlines or open timelines?,Single Choice,"Deadlines, Open, Flexible",Work,Projects,work_projects
431,What's your favorite form of exercise?,Freitext,,Fitness,Training,fitness_training
432,How do you stay motivated during challenges?,Freitext,,Mindset,Resilience,mindset_resilience
433,What's your favorite thing about where you live?,Freitext,,Living,Neighborhood,living_neighborhood
434,Do you prefer hot or cold weather?,Single Choice,"Hot, Cold, Moderate",Nature,Climate,nature_climate
435,What's your favorite way to unwind?,Freitext,,Recovery,Relaxation,recovery_relaxation
436,How do you handle information overload?,Freitext,,Emotions,Regulation,emotions_regulation
437,What's your favorite type of weather?,Freitext,,Nature,Climate,nature_climate
438,Do you prefer deep work sessions or short bursts?,Single Choice,"Deep work, Short bursts, Mix",Productivity,Focus,productivity_focus
439,What's your favorite way to express gratitude?,Freitext,,Emotions,Expression,emotions_expression
440,How do you prioritize your health?,Freitext,,Health,Physical,health_physical
441,What's your favorite board game or card game?,Freitext,,Lifestyle,Routine,lifestyle_routine
442,Do you prefer planning ahead or going with the flow?,Single Choice,"Planning, Flow, Situational",Personality,Behavior,personality_behavior
443,What's your favorite quote or saying?,Freitext,,Values,Beliefs,values_beliefs
444,How do you measure personal growth?,Freitext,,Mindset,Growth,mindset_growth
445,What's your favorite type of learning content?,Freitext,,Learning,Style,learning_style
446,Do you prefer individual or team sports?,Single Choice,"Individual, Team, Both",Sports,TeamSports,sports_teamsports
447,What's your favorite way to give back?,Freitext,,Community,Contribution,community_contribution
448,How do you handle creative blocks?,Freitext,,Creativity,Ideas,creativity_ideas
449,What's your favorite season for outdoor activities?,Freitext,,Sports,Outdoor,sports_outdoor
450,Do you prefer analog or digital tools?,Single Choice,"Analog, Digital, Mix",Technology,Devices,technology_devices
451,What's your favorite way to celebrate?,Freitext,,Emotions,Expression,emotions_expression
452,How do you approach goal setting?,Freitext,,Goals,Personal,goals_personal
453,What's your favorite type of cuisine?,Freitext,,Nutrition,Preferences,nutrition_preferences
454,Do you prefer routine or variety in your meals?,Single Choice,"Routine, Variety",Nutrition,Diet,nutrition_diet
455,What's your favorite way to start the weekend?,Freitext,,Time,Weekend,time_weekend
456,How do you handle transitions between activities?,Freitext,,Productivity,Time,productivity_time
457,What's your favorite scent or fragrance?,Freitext,,Home,Atmosphere,home_atmosphere
458,Do you prefer solo travel or group travel?,Single Choice,"Solo, Group, Depends",Travel,Experiences,travel_experiences
459,What's your favorite way to end the day?,Freitext,,Habits,Evening,habits_evening
460,How do you approach trying new things?,Freitext,,Mindset,Curiosity,mindset_curiosity
461,What's your favorite type of art?,Freitext,,Art,Visual,art_visual
462,Do you prefer active or passive entertainment?,Single Choice,"Active, Passive, Mix",Media,Social,media_social
463,What's your favorite way to stay connected with loved ones?,Freitext,,Friends,Activities,friends_activities
464,How do you define productivity?,Freitext,,Productivity,Systems,productivity_systems
465,What's your favorite comfort food?,Freitext,,Nutrition,Preferences,nutrition_preferences
466,Do you prefer morning or evening workouts?,Single Choice,"Morning, Evening, No preference",Fitness,Training,fitness_training
467,What's your favorite way to document memories?,Freitext,,Technology,Software,technology_software
468,How do you approach networking?,Freitext,,Career,Network,career_network
469,What's your favorite thing to do on a day off?,Freitext,,Lifestyle,Routine,lifestyle_routine
470,Do you prefer city breaks or nature retreats?,Single Choice,"City, Nature, Both",Travel,Destinations,travel_destinations
471,What's your favorite way to show appreciation?,Freitext,,Emotions,Expression,emotions_expression
472,How do you handle competing priorities?,Freitext,,Productivity,Time,productivity_time
473,What's your favorite childhood book?,Freitext,,Books,Favorites,books_favorites
474,Do you prefer live events or streaming?,Single Choice,"Live, Streaming, Both",Media,Social,media_social
475,What's your favorite way to brainstorm?,Freitext,,Creativity,Ideas,creativity_ideas
476,How do you approach personal projects?,Freitext,,Work,Projects,work_projects
477,What's your favorite type of photography?,Freitext,,Art,Photography,art_photography
478,Do you prefer minimalism or maximalism?,Single Choice,"Minimalism, Maximalism, Balance",Design,Visuals,design_visuals
479,What's your favorite way to spend quality time?,Freitext,,Friends,Activities,friends_activities
480,How do you approach self-improvement?,Freitext,,Mindset,Growth,mindset_growth
481,What's your favorite type of coffee or tea preparation?,Freitext,,Nutrition,Preferences,nutrition_preferences
482,Do you prefer routine bedtimes or flexible sleep schedules?,Single Choice,"Routine, Flexible",Health,Sleep,health_sleep
483,What's your favorite way to stay curious?,Freitext,,Mindset,Curiosity,mindset_curiosity
484,How do you approach budgeting and finances?,Freitext,,Shopping,Budget,shopping_budget
485,What's your favorite form of storytelling?,Freitext,,Media,Influences,media_influences
486,Do you prefer collaborative or independent work?,Single Choice,"Collaborative, Independent, Mix",Work,Collaboration,work_collaboration
487,What's your favorite way to practice mindfulness?,Freitext,,Recovery,Mindfulness,recovery_mindfulness
488,How do you approach personal style evolution?,Freitext,,Fashion,Style,fashion_style
489,What's your favorite thing about your daily routine?,Freitext,,Habits,Productivity,habits_productivity
490,Do you prefer long-form or short-form content?,Single Choice,"Long-form, Short-form, Both",Media,Social,media_social
491,What's your favorite way to inspire others?,Freitext,,Community,Contribution,community_contribution
492,How do you approach building habits?,Freitext,,Habits,Health,habits_health
493,What's your favorite type of playlist?,Freitext,,Music,Playlists,music_playlists
494,Do you prefer traditional or modern design?,Single Choice,"Traditional, Modern, Mix",Design,Visuals,design_visuals
495,What's your favorite way to challenge yourself?,Freitext,,Goals,Personal,goals_personal
496,How do you approach rest and recovery?,Freitext,,Recovery,Balance,recovery_balance
497,What's your favorite aspect of your personality?,Freitext,,Personality,Traits,personality_traits
498,Do you prefer handwritten notes or digital notes?,Single Choice,"Handwritten, Digital, Both",Productivity,Tools,productivity_tools
499,What's your favorite way to express yourself?,Freitext,,Emotions,Expression,emotions_expression
500,How do you envision your ideal future?,Freitext,,Goals,LongTerm,goals_longterm
