Nr.,Question,Category,SubCategory,Field Key
1,Travel style: adventure, relaxation, culture, or mix?,Travel,Travel Persona,travel_persona 
2,Trip vibe: social & busy or quiet & peaceful?,Travel,Vibe,preferred_vibe
3,How many trips per year?,Travel,Frequency,trip_frequency
4,Travel companions: solo, partner, family, friends?,Travel,Companions,travel_companions
5,Main reason for traveling?,Travel,Motivations,core_motivations
6,Deal-breakers when traveling?,Travel,Avoidances,avoid_on_trips
7,Favorite destinations?,Travel,Regions,favorite_regions_or_countries
8,Preferred climate/weather?,Travel,Climate,preferred_climate
9,Landscape preference: beach, mountains, city, countryside?,Travel,Landscapes,preferred_landscapes
10,Cities or nature?,Travel,Urban vs Nature,urban_vs_nature_preference
11,Cultural interests when traveling?,Travel,Culture,cultural_interests
12,Languages you speak?,Travel,Languages,language_comfort_zones
13,Accommodation: hotels, Airbnb, hostels, camping?,Travel,Accommodation Types,preferred_types
14,Accommodation comfort level: budget, standard, luxury?,Travel,Comfort Level,comfort_level
15,Accommodation style preference?,Travel,Style,style_keywords
16,Must-have amenities?,Travel,Amenities,amenities_priority
17,Favorite hotel brands?,Travel,Hotels,favorite_hotels_or_brands
18,Typical stay duration per location?,Travel,Stay Duration,stay_duration_pattern
19,Transport preference: plane, train, car, bus?,Travel,Transport,preferred_modes
20,Preferred airlines or train companies?,Travel,Transport Brands,airline_or_train_loyalty
21,Seat preference: window, aisle, doesn't matter?,Travel,Seating,seat_preference
22,Packing style: light or heavy?,Travel,Baggage,baggage_habits
23,Do you rent cars?,Travel,Car Rental,car_rental_preference
24,How important is sustainable travel?,Travel,Sustainability,sustainability_priority
25,Dietary needs when traveling?,Travel,Dietary,dietary_considerations
26,Favorite cuisines?,Travel,Cuisines,favorite_cuisines
27,Coffee preference?,Travel,Coffee,coffee_habits
28,Restaurant type: fine dining, casual, street food?,Travel,Restaurants,restaurant_type_preference
29,Try local food or stick to familiar?,Travel,Food Openness,local_food_openness
30,Foods you avoid?,Travel,Food Avoidances,avoid_foods
31,Typical trip budget?,Travel,Budget,average_budget_per_trip
32,Budget flexibility: strict or flexible?,Travel,Budget Flexibility,budget_flexibility
33,Where do you splurge when traveling?,Travel,Splurge,splurge_categories
34,Where do you save when traveling?,Travel,Savings,saving_preferences
35,What's good value in travel?,Travel,Value,value_definition
36,Payment method: cash, card, mobile?,Travel,Payment,preferred_payment_method
37,Planning: detailed plans or spontaneous?,Travel,Planning,planning_style
38,How far in advance do you book?,Travel,Booking Window,booking_window
39,How do you discover destinations?,Travel,Discovery,trip_discovery_channels
40,Trusted travel sources?,Travel,Trust,trust_sources
41,Ideal trip length?,Travel,Trip Length,trip_length_preference
42,Spontaneity level: planned or go-with-flow?,Travel,Spontaneity,spontaneity_level
43,What feeling do you want from travel?,Travel,Feelings,feelings_sought_on_trip
44,One word for your perfect trip?,Travel,Perfect Trip,perfect_trip_description
45,Best trip you've taken?,Travel,Best Trip,most_memorable_trip
46,Worst travel experience?,Travel,Worst Trip,worst_trip_pain_points
47,What stresses you when traveling?,Travel,Stress,stress_triggers_when_traveling
48,How do you feel after trips?,Travel,Post-Trip,post_trip_feelings
49,Style in 3 words?,Shopping,Style,style_words
50,Colors you wear most?,Shopping,Colors,dominant_colors
51,Preferred materials/fabrics?,Shopping,Materials,preferred_materials
52,Materials or patterns you avoid?,Shopping,Avoidances,avoided_textures_patterns
53,Design qualities you look for?,Shopping,Design,attractive_design_qualities
54,Brands that feel like you?,Shopping,Brand Identity,product_feels_like_me
55,Style inspirations?,Shopping,Inspirations,visual_references
56,Clothing sizes (tops/bottoms/shoes)?,Shopping,Sizes,sizes
57,Fit preference: tight, fitted, regular, loose, oversized?,Shopping,Fit,preferred_fit
58,Brands that fit you well?,Shopping,Brand Fit,brands_fit_well
59,Comfort must-haves?,Shopping,Comfort,comfort_features
60,Cuts or shapes you avoid?,Shopping,Cuts,cuts_shapes_to_avoid
61,Fabric sensitivities?,Shopping,Sensitivities,sensitivity_notes
62,Main use: work, casual, sports, formal?,Shopping,Use Cases,main_use_cases
63,How often do you buy clothes?,Shopping,Purchase Frequency,purchase_frequency_by_use_case
64,Functional must-haves?,Shopping,Functional,key_functional_traits
65,Current wardrobe brands?,Shopping,Existing,existing_ecosystem
66,How often upgrade tech/gear?,Shopping,Tech Upgrade,tech_upgrade_cadence
67,How do you discover products?,Shopping,Discovery,discovery_channels
68,Values-aligned brands?,Shopping,Values,value_aligned_brands
69,Brand stories that resonate?,Shopping,Brand Stories,appealing_brand_stories
70,Practices/materials you avoid?,Shopping,Avoidances,avoid_practices_materials
71,Importance of local/ethical: high, medium, low?,Shopping,Ethics,local_ethic_priority
72,Support small/new brands?,Shopping,Emerging Brands,prioritize_emerging_brands
73,Important certifications?,Shopping,Certifications,preferred_certifications
74,Budget for everyday clothes?,Shopping,Budget Clothing,price_range_everyday_clothing
75,Budget for shoes?,Shopping,Budget Shoes,price_range_shoes
76,Budget for tech?,Shopping,Budget Tech,price_range_tech
77,Quality or quantity?,Shopping,Quality vs Quantity,quality_vs_quantity
78,What makes something worth the price?,Shopping,Worth It,worth_it_criteria
79,Where do you live (city)?,Shopping,Location,primary_location
80,Typical weather?,Shopping,Weather,typical_weather
81,Travel frequency?,Shopping,Travel,travel_habits
82,Daily routine?,Shopping,Rhythm,daily_rhythm
83,Environmental factors affecting clothing?,Shopping,Environment,environmental_constraints
84,Lifestyle (active, sedentary, mixed)?,Shopping,Lifestyle,lifestyle_habits
85,Shopping: quick decisions or research?,Shopping,Decision Style,decision_style
86,How many options do you compare?,Shopping,Comparison,typical_comparison_set_size
87,Curated selection or wide choice?,Shopping,Curation,curation_preference
88,Return frequency?,Shopping,Returns,return_rate_sentiment
89,What triggers a purchase?,Shopping,Triggers,purchase_triggers
90,How much do reviews matter?,Shopping,Reviews,review_influence_level
91,Online or in-store?,Shopping,Shopping Mode,shopping_mode_preference
92,How should shopping feel?,Shopping,Emotions,desired_purchase_emotions
93,Story or function priority?,Shopping,Story vs Function,story_vs_function_bias
94,Packaging preferences?,Shopping,Packaging,packaging_preferences
95,Best purchase ever?,Shopping,Memorable Purchase,most_memorable_purchase
96,Common purchase regrets?,Shopping,Regrets,most_common_regret
97,What makes a perfect purchase?,Shopping,Perfect Buy,perfect_buy_definition
98,Emotions you feel most?,Emotions,Core Emotions,core_emotions_felt_often
99,How do you show emotions?,Emotions,Expression,emotional_expression_style
100,Comfort talking about emotions: high, medium, low?,Emotions,Language,emotional_language_strength
101,Comfort with vulnerability: high, medium, low?,Emotions,Vulnerability,comfort_with_vulnerability
102,Overall emotional tone?,Emotions,Tone,dominant_emotional_tone
103,Relationship with emotions: embrace or avoid?,Emotions,Relationship,relationship_with_emotions
104,Daily mood range: stable or varied?,Emotions,Mood Range,typical_daily_mood_range
105,Energy affects mood or vice versa?,Emotions,Energy Pattern,energy_vs_emotion_pattern
106,What lifts your mood?,Emotions,Positive Triggers,emotional_triggers_positive
107,What brings you down?,Emotions,Negative Triggers,emotional_triggers_negative
108,How do you cope with stress?,Emotions,Coping,coping_mechanisms
109,Recovery speed: fast or slow?,Emotions,Recovery,emotional_recovery_speed
110,Need for connection: high, medium, low?,Emotions,Connection,need_for_connection
111,Need for stability: high, medium, low?,Emotions,Stability,need_for_stability
112,Need for excitement: high, medium, low?,Emotions,Excitement,need_for_excitement_or_novelty
113,Need for recognition: high, medium, low?,Emotions,Recognition,need_for_recognition
114,Need for safety: high, medium, low?,Emotions,Safety,need_for_safety
115,Need for independence: high, medium, low?,Emotions,Autonomy,need_for_autonomy
116,How do you express yourself?,Emotions,Expression Forms,preferred_forms_of_expression
117,Emotional outlets?,Emotions,Outlets,creative_or_physical_outlets
118,Share feelings: openly, selectively, rarely?,Emotions,Communication,communication_of_feelings
119,Body language awareness: high, medium, low?,Emotions,Body Language,body_language_awareness
120,Suppress or share emotions?,Emotions,Tendency,tendency_to_suppress_or_share
121,Emotional release rituals?,Emotions,Rituals,rituals_for_emotional_release
122,Stress response?,Emotions,Stress Response,stress_response_pattern
123,Main stress sources?,Emotions,Stress Sources,main_sources_of_stress
124,Stress management?,Emotions,Stress Management,stress_management_strategies
125,What builds resilience?,Emotions,Resilience,resilience_triggers
126,What comforts you?,Emotions,Comfort,comfort_sources
127,Burnout signs you notice?,Emotions,Burnout,burnout_signs
128,Self-awareness: high, medium, low?,Emotions,Self Awareness,self_awareness_level
129,Empathy level: high, medium, low?,Emotions,Empathy,empathy_toward_others
130,Can you name emotions easily?,Emotions,Labeling,ability_to_label_emotions
131,Emotion regulation: strong, moderate, needs work?,Emotions,Regulation,emotional_regulation_skill
132,Read others' emotions: easily, sometimes, rarely?,Emotions,Pattern Recognition,pattern_recognition_in_others
133,Emotional goals?,Emotions,Goals,emotional_learning_goals
134,Joy sources?,Emotions,Joy,sources_of_joy
135,When do you feel calm?,Emotions,Calm,moments_of_calm
136,Wellbeing reducers?,Emotions,Wellbeing,factors_that_reduce_wellbeing
137,Gratitude practices?,Emotions,Gratitude,gratitude_practices
138,Happiness definition?,Emotions,Happiness,definition_of_happiness
139,Balance strategy?,Emotions,Balance,emotional_balance_strategy
140,Recent emotional insights?,Emotions,Realizations,recent_emotional_realizations
141,Recent dominant feeling?,Emotions,Recent Feeling,most_common_feeling_lately
142,Emotions you want more of?,Emotions,Desired Emotions,emotions_you_want_to_experience_more
143,Emotions you avoid?,Emotions,Avoided Emotions,emotions_you_avoid
144,What emotions teach you?,Emotions,Learning,what_your_emotions_teach_you
145,How emotions shape you?,Emotions,Identity,relationship_between_emotion_and_identity
146,Job title/role?,Work,Role,current_role
147,Industry?,Work,Industry,industry
148,Company type/size?,Work,Company,company_or_organization
149,Team size?,Work,Team,workplace_size
150,Years of experience?,Work,Experience,years_of_experience
151,Top 3 professional strengths?,Work,Strengths,professional_strengths
152,Career values?,Work,Values,career_values
153,Short-term career goals?,Work,Short-term Goals,short_term_goals
154,Long-term career goals?,Work,Long-term Goals,long_term_goals
155,Dream job?,Work,Dreams,career_dreams
156,Work motivation?,Work,Motivation,motivation_for_work
157,Success definition?,Work,Success,definition_of_success
158,Professional inspirations?,Work,Inspirations,career_inspirations
159,Typical work hours?,Work,Hours,typical_work_hours
160,Preferred start time?,Work,Start Time,preferred_start_time
161,Break frequency/style?,Work,Breaks,break_patterns
162,Peak focus time?,Work,Focus,focus_energy_cycles
163,Workload capacity: high, medium, low?,Work,Workload,workload_tolerance
164,Ideal workday?,Work,Ideal Day,ideal_workday_description
165,Collaboration: solo, team, mix?,Work,Collaboration,collaboration_style
166,Communication: meetings, email, chat, calls?,Work,Communication,communication_preferences
167,Meeting tolerance: high, medium, low?,Work,Meetings,meeting_tolerance_level
168,Feedback style: direct, gentle, written, verbal?,Work,Feedback,feedback_preference
169,Team size preference?,Work,Team Dynamics,team_dynamics_preference
170,Communication tools?,Work,Tools,preferred_tools_for_communication
171,PM approach: structured, flexible, agile?,Work,Project Management,project_management_style
172,Productivity system?,Work,Productivity,preferred_productivity_system
173,Essential work tools?,Work,Apps,favorite_work_apps_or_tools
174,Organization style: neat, chaotic, functional?,Work,Organization,file_organization_habits
175,AI/automation tools used?,Work,Automation,automation_or_ai_tools_used
176,Distraction management?,Work,Distractions,distraction_management_strategies
177,Leadership style?,Work,Leadership,leadership_style
178,Mentor or mentee?,Work,Mentorship,mentorship_roles
179,Learning priorities?,Work,Learning,learning_priorities_for_work
180,Decision style: quick, thorough, collaborative?,Work,Decisions,decision_making_style
181,Comfort with change: high, medium, low?,Work,Change,change_management_comfort
182,Growth practices?,Work,Growth,growth_mindset_practices
183,Work location: office, remote, hybrid?,Work,Location,preferred_work_location
184,Home office setup?,Work,Home Office,home_office_setup
185,Office environment: quiet, busy, collaborative?,Work,Environment,office_environment_preferences
186,Work travel frequency?,Work,Travel,travel_frequency_for_work
187,Commute preference?,Work,Commute,commute_preference
188,Workspace vibe?,Work,Vibe,ideal_workspace_vibe
189,Feelings about work?,Work,Feelings,feelings_toward_work
190,Flow moments?,Work,Flow,moments_of_flow
191,Work stressors?,Work,Stress,biggest_sources_of_stress
192,Proudest work moments?,Work,Pride,most_proud_work_moments
193,Work-life balance definition?,Work,Balance,work_life_balance_definition
194,Work purpose?,Work,Purpose,purpose_you_find_in_work
195,Diet type: omnivore, vegetarian, vegan, other?,Nutrition,Diet Type,overall_diet_type
196,Eating philosophy?,Nutrition,Philosophy,eating_philosophy
197,Dietary restrictions?,Nutrition,Restrictions,dietary_restrictions
198,Food allergies?,Nutrition,Allergies,allergies
199,Ethical/religious food rules?,Nutrition,Ethics,ethical_or_religious_considerations
200,Nutrition goals?,Nutrition,Goals,nutrition_goals
201,Diet flexibility: strict, moderate, flexible?,Nutrition,Flexibility,flexibility_level
202,Meals per day?,Nutrition,Meal Frequency,meal_frequency
203,Breakfast time?,Nutrition,Breakfast,usual_breakfast_time
204,Lunch time?,Nutrition,Lunch,usual_lunch_time
205,Dinner time?,Nutrition,Dinner,usual_dinner_time
206,Snacking habits?,Nutrition,Snacks,snack_patterns
207,Late-night eating: yes, no, sometimes?,Nutrition,Late Night,late_night_eating_habit
208,Favorite cuisines?,Nutrition,Cuisines,favorite_cuisines
209,Favorite dishes?,Nutrition,Dishes,favorite_dishes
210,Flavor preferences: sweet, salty, spicy, sour?,Nutrition,Flavors,preferred_flavors
211,Disliked foods?,Nutrition,Dislikes,disliked_foods
212,Comfort foods?,Nutrition,Comfort,comfort_foods
213,Try new foods: always, sometimes, rarely?,Nutrition,Experimental,experimental_openness
214,Daily beverages?,Nutrition,Drinks,daily_drinks
215,Coffee, tea, or both?,Nutrition,Coffee/Tea,coffee_or_tea_preference
216,Alcohol: regularly, socially, rarely, never?,Nutrition,Alcohol,alcohol_consumption_pattern
217,Water intake per day?,Nutrition,Hydration,hydration_habits
218,Favorite drinks?,Nutrition,Beverages,favorite_non_alcoholic_drinks
219,Avoided beverages?,Nutrition,Avoid Drinks,avoid_beverages
220,Cook: daily, weekly, rarely, never?,Nutrition,Cooking Frequency,cooking_frequency
221,Cooking methods?,Nutrition,Methods,preferred_cooking_methods
222,Cooking skill: beginner, intermediate, advanced?,Nutrition,Skill,skill_level
223,Favorite ingredients?,Nutrition,Ingredients,favorite_ingredients
224,Essential kitchen tools?,Nutrition,Kitchen,kitchen_equipment_priority
225,Takeout frequency?,Nutrition,Takeout,takeout_frequency
226,Food-fitness connection?,Nutrition,Fitness,fitness_connection
227,Supplements taken?,Nutrition,Supplements,supplement_routine
228,Track food: yes, no, sometimes?,Nutrition,Tracking,tracking_methods
229,Gut health priority: high, medium, low?,Nutrition,Gut Health,gut_health_focus
230,Food-energy connection?,Nutrition,Energy,energy_level_patterns
231,Known food sensitivities?,Nutrition,Sensitivities,food_sensitivity_awareness
232,Grocery shopping frequency?,Nutrition,Shopping Frequency,grocery_frequency
233,Preferred grocery stores?,Nutrition,Stores,preferred_supermarkets_or_brands
234,Organic priority: high, medium, low?,Nutrition,Organic,organic_preference
235,Weekly food budget?,Nutrition,Budget,budget_per_week
236,Grocery: online, in-store, both?,Nutrition,Shopping Mode,online_vs_offline_shopping
237,Local/sustainable priority: high, medium, low?,Nutrition,Sourcing,food_sourcing_priority
238,Emotional eating triggers?,Nutrition,Emotional Triggers,emotional_triggers_for_eating
239,Food as reward: yes, no, sometimes?,Nutrition,Reward,food_as_reward_or_relaxation
240,Most memorable meal?,Nutrition,Memorable Meal,most_memorable_meal
241,Stress eating: yes, no, sometimes?,Nutrition,Stress Eating,stress_eating_tendency
242,Mindful eating?,Nutrition,Mindful,mindful_eating_practices
243,Good meal definition?,Nutrition,Good Meal,definition_of_good_meal
244,Sleep schedule?,Health,Sleep Pattern,sleep_pattern
245,Hours of sleep needed?,Health,Sleep Hours,sleep_hours
246,Sleep quality: good, fair, poor?,Health,Sleep Quality,sleep_quality
247,Exercise frequency?,Health,Exercise Routine,exercise_routine
248,Exercise type: cardio, strength, yoga, mix?,Health,Exercise Type,exercise_type
249,Exercise duration per session?,Health,Exercise Duration,exercise_duration
250,Fitness goals?,Health,Fitness Goals,fitness_goals
251,Health priorities?,Health,Health Priorities,health_priorities
252,Chronic health conditions?,Health,Chronic Conditions,chronic_conditions
253,Regular medications?,Health,Medications,medications_regular
254,Daily supplements?,Health,Supplements,supplements
255,Track health metrics?,Health,Tracking,health_tracking
256,Doctor visits per year?,Health,Doctor Visits,doctor_visit_frequency
257,Preventive care habits?,Health,Preventive Care,preventive_care
258,Mental health practices?,Health,Mental Health,mental_health_practices
259,Stress level: high, medium, low?,Health,Stress,stress_level
260,Energy levels: high, medium, low?,Health,Energy,energy_levels
261,Body awareness: high, medium, low?,Health,Body Awareness,body_signals_awareness
262,Chronic pain areas?,Health,Pain,pain_areas
263,Mobility limitations?,Health,Mobility,mobility_issues
264,Vision/hearing needs?,Health,Vision/Hearing,vision_hearing
265,Dental health priority: high, medium, low?,Health,Dental,dental_health
266,Skincare routine?,Health,Skincare,skin_care_routine
267,Daily water intake?,Health,Water,water_intake
268,Daily caffeine?,Health,Caffeine,caffeine_consumption
269,Alcohol limits?,Health,Alcohol,alcohol_limits
270,Smoking: yes, no, former?,Health,Smoking,smoking_status
271,Daily screen time?,Health,Screen Time,screen_time
272,Outdoor time per day?,Health,Outdoor Time,outdoor_time
273,Recovery priorities?,Health,Recovery,recovery_priorities
274,Health anxiety: high, medium, low?,Health,Anxiety,health_anxiety
275,Monthly wellness budget?,Health,Budget,wellness_budget
276,Health insurance coverage?,Health,Insurance,health_insurance
277,Use alternative medicine?,Health,Alternative,alternative_medicine
278,Body goals?,Health,Body Goals,body_goals
279,View of past: nostalgic, neutral, prefer present?,Memory,Past Relationship,relationship_with_past
280,Memory importance: high, medium, low?,Memory,Attitude,attitude_toward_memory
281,Nostalgia frequency: often, sometimes, rarely?,Memory,Nostalgia,emotional_connection_to_nostalgia
282,Change perspective: embrace, accept, resist?,Memory,Change,view_on_time_and_change
283,Storytelling: detailed, brief, visual?,Memory,Storytelling,storytelling_style
284,Common memory triggers?,Memory,Triggers,memory_triggers
285,Favorite childhood memory?,Memory,Childhood,childhood_memories
286,Teen defining moment?,Memory,Adolescent,adolescent_formative_experiences
287,Adult defining moment?,Memory,Adulthood,adulthood_defining_moments
288,Proudest achievement?,Memory,Career,career_or_achievement_highlights
289,Biggest lesson learned?,Memory,Lessons,transformative_failures_or_lessons
290,Moment everything clicked?,Memory,Awakening,moments_of_awakening
291,Most influential person?,Memory,Influential People,most_influential_people
292,Shared memory you treasure?,Memory,Shared,memories_shared_with_loved_ones
293,Loss that shaped you?,Memory,Losses,losses_that_shaped_you
294,Key mentor?,Memory,Mentors,mentors_or_role_models
295,Treasured friendship moment?,Memory,Friendship,friendship_moments_you_value
296,Relationship transition impact?,Memory,Transitions,relationship_transitions
297,Childhood home location?,Memory,Childhood Places,childhood_places
298,Place that shaped you?,Memory,Shaping Places,cities_or_countries_that_shaped_you
299,Favorite past place?,Memory,Favorite Places,favorite_places_from_past
300,Place that feels like home?,Memory,Home Places,places_associated_with_calm_or_home
301,Memorable travel moment?,Memory,Travel,memories_linked_to_travel
302,Smell/sound that triggers memories?,Memory,Sensory,environmental_sensory_triggers
303,Sentimental object?,Memory,Objects,sentimental_objects
304,Family heirloom?,Memory,Heirlooms,family_heirlooms_or_symbols
305,Song/art that evokes memory?,Memory,Music/Art,music_or_art_that_evokes_memory
306,Digital memories saved?,Memory,Digital,digital_memories_saved
307,Keep journals/archives?,Memory,Archives,personal_archives_or_journals
308,Photo that defines you?,Memory,Photos,photographs_that_define_you
309,Happiest memory?,Memory,Happiest,happiest_memories
310,Toughest moment?,Memory,Challenging,most_challenging_moments
311,Loving memory?,Memory,Love,memories_of_love_and_connection
312,Difficult memory?,Memory,Fear/Loss,memories_of_fear_or_loss
313,Recurring memory theme?,Memory,Themes,themes_that_repeat_in_memory
314,Reframed memory?,Memory,Healing,healing_or_reframed_memories
315,Key life lesson?,Memory,Lessons,lessons_from_past
316,Revisit memories: photos, stories, places?,Memory,Revisit,how_you_revisit_old_memories
317,How past influences present?,Memory,Influence,how_memory_influences_present_choices
318,Moment to preserve forever?,Memory,Preserve,moments_you_want_to_preserve_forever
319,Deal with regret?,Memory,Regret,how_you_deal_with_regret
320,What memories mean to you?,Memory,Meaning,what_memory_means_to_you
321,Story you tell about yourself?,Memory,Stories,stories_you_tell_about_yourself
322,Story you avoid?,Memory,Avoided Stories,stories_you_avoid_telling
323,Who to pass memories to?,Memory,Legacy,people_you_want_to_pass_memories_to
324,How preserve memories?,Memory,Preservation,mediums_you_use_to_preserve_memory
325,How want to be remembered?,Memory,Remembered,how_you_want_to_be_remembered
326,Memory archive idea?,Memory,Archive,memory_project_or_archive_idea
327,Creative in 3 words?,Arts & Creativity,Self Description,creative_self_description
328,Creativity importance: high, medium, low?,Arts & Creativity,Role,role_of_creativity_in_life
329,Creative disciplines?,Arts & Creativity,Disciplines,artistic_or_inventive_disciplines
330,Creative strengths?,Arts & Creativity,Strengths,creative_strengths
331,Creative challenges?,Arts & Creativity,Challenges,creative_challenges
332,Originality definition?,Arts & Creativity,Originality,definition_of_originality
333,Favorite art styles?,Arts & Creativity,Styles,favorite_art_styles_or_movements
334,Aesthetic in 3 words?,Arts & Creativity,Aesthetic,aesthetic_keywords
335,Color palette preference?,Arts & Creativity,Colors,preferred_color_palettes
336,Preferred mediums?,Arts & Creativity,Materials,material_or_medium_preferences
337,Art emotional impact?,Arts & Creativity,Emotional Response,emotional_response_to_aesthetics
338,Resonating symbols?,Arts & Creativity,Symbols,symbols_or_visual_motifs
339,Inspiration sources?,Arts & Creativity,Inspiration,inspiration_sources
340,Idea generation?,Arts & Creativity,Ideas,idea_generation_methods
341,Creation workflow?,Arts & Creativity,Workflow,workflow_from_idea_to_creation
342,Creative tools?,Arts & Creativity,Tools,preferred_tools_or_mediums
343,Plan or improvise?,Arts & Creativity,Planning,balance_between_planning_and_improvisation
344,Creative rituals?,Arts & Creativity,Rituals,creative_rituals_or_routines
345,Innovation approach?,Arts & Creativity,Innovation,approach_to_innovation
346,Failure comfort: high, medium, low?,Arts & Creativity,Failure,comfort_with_ambiguity_and_failure
347,Curiosity triggers?,Arts & Creativity,Curiosity,curiosity_triggers
348,Collaborate: often, sometimes, solo?,Arts & Creativity,Collaboration,collaboration_in_creation
349,Pattern recognition?,Arts & Creativity,Patterns,pattern_recognition_strengths
350,Proud creative project?,Arts & Creativity,Projects,examples_of_inventive_projects
351,Creative outlets?,Arts & Creativity,Outlets,creative_outlets
352,Art forms practiced?,Arts & Creativity,Art Forms,art_forms_you_practice
353,Performed/exhibited?,Arts & Creativity,Performance,performance_or_exhibition_experience
354,Favorite themes?,Arts & Creativity,Themes,favorite_subjects_or_themes
355,Create for: self, specific audience, everyone?,Arts & Creativity,Audience,audience_relationship
356,Art as emotional outlet?,Arts & Creativity,Expression,art_as_emotional_expression
357,Favorite artists?,Arts & Creativity,Artists,favorite_artists_or_creators
358,Inspirational works?,Arts & Creativity,Works,inspirational_works
359,Museums/events visited?,Arts & Creativity,Events,museums_or_events_you_frequent
360,Favorite music/books/films?,Arts & Creativity,Favorites,favorite_music_books_or_films
361,Online art communities?,Arts & Creativity,Communities,online_art_spaces_or_communities
362,Daily inspiration?,Arts & Creativity,Daily,daily_inspiration_sources
363,Skills developing?,Arts & Creativity,Skills,skills_in_development
364,Courses/workshops?,Arts & Creativity,Learning,creative_courses_or_workshops
365,Creative mentors?,Arts & Creativity,Mentorship,mentorship_or_peer_learning
366,Handle feedback: well, with difficulty, avoid?,Arts & Creativity,Feedback,creative_feedback_habits
367,Project to master?,Arts & Creativity,Mastery,projects_you_want_to_master
368,Creative growth vision?,Arts & Creativity,Vision,vision_for_creative_growth
369,Creative goals?,Arts & Creativity,Goals,artistic_or_innovative_goals
