Nr.,Question,Category,SubCategory,Field Key
370,Tools to explore?,Arts & Creativity,Future Tools,technologies_or_tools_you_want_to_explore
371,Dream collaboration?,Arts & Creativity,Collaboration,dream_collaborations
372,Future vision?,Arts & Creativity,Future,vision_for_future_creative_work
373,Cultural impact goal?,Arts & Creativity,Impact,cultural_impact_you_want_to_make
374,Creative legacy?,Arts & Creativity,Legacy,definition_of_creative_legacy
375,Family structure?,Family,Structure,family_structure
376,Family size?,Family,Size,family_size
377,Relationship status?,Family,Relationship,relationship_status
378,Children: yes, no, planning?,Family,Children,children
379,Children ages?,Family,Children Ages,children_ages
380,Parenting style?,Family,Parenting,parenting_style
381,Extended family closeness: close, moderate, distant?,Family,Extended Family,extended_family_closeness
382,Core family values?,Family,Values,family_values
383,Family traditions?,Family,Traditions,family_traditions
384,Family gathering frequency?,Family,Gatherings,family_gathering_frequency
385,Family communication: open, reserved, complex?,Family,Communication,family_communication_style
386,Family conflict resolution?,Family,Conflict,conflict_resolution
387,Primary support system?,Family,Support,support_system
388,Caregiving roles?,Family,Caregiving,caregiving_responsibilities
389,Household role distribution?,Family,Roles,household_roles
390,Family decisions: joint, individual, shared?,Family,Decisions,decision_making_family
391,Cultural heritage?,Family,Heritage,cultural_heritage
392,Home language(s)?,Family,Language,language_spoken_at_home
393,Religious practices?,Family,Religion,religious_practices
394,Common family activities?,Family,Activities,family_activities
395,Family vacation style?,Family,Vacations,vacation_style_family
396,Family meals frequency?,Family,Meals,family_meals_frequency
397,Pets?,Family,Pets,pet_situation
398,Living situation: alone, partner, family, roommates?,Family,Living,living_situation
399,Distance from family: same city, nearby, far?,Family,Proximity,proximity_to_family
400,Family support needs?,Family,Support Needs,family_support_needs
401,Future family plans?,Family,Future,future_family_plans
402,Parenting challenges?,Family,Challenges,parenting_challenges
403,Family health concerns?,Family,Health,family_health_concerns
404,Estate planning: yes, in progress, no?,Family,Inheritance,inheritance_planning
405,Family business involved?,Family,Business,family_business
406,Sibling relationships?,Family,Siblings,sibling_relationships
407,Relationship with parents?,Family,Parents,parent_relationship
408,In-law relationships?,Family,In-laws,in_law_relationships
409,Family boundaries: clear, flexible, needs work?,Family,Boundaries,family_boundaries
410,Age?,Identity,Age,age
411,Gender?,Identity,Gender,gender
412,Pronouns?,Identity,Pronouns,pronouns
413,Nationality?,Identity,Nationality,nationality
414,Ethnicity?,Identity,Ethnicity,ethnicity
415,Languages spoken?,Identity,Languages,languages_spoken
416,Religion/spirituality?,Identity,Religion,religion
417,Political leaning?,Identity,Politics,political_leaning
418,Education level?,Identity,Education,education_level
419,Personality type (MBTI, Enneagram, etc.)?,Identity,Personality,personality_type
420,Core values?,Identity,Values,core_values
421,Life philosophy in one sentence?,Identity,Philosophy,life_philosophy
422,Top 3 strengths?,Identity,Strengths,strengths
423,Areas for growth?,Identity,Weaknesses,weaknesses
424,Introvert, extrovert, or ambivert?,Identity,Introvert/Extrovert,introvert_extrovert
425,Risk tolerance: high, medium, low?,Identity,Risk,risk_tolerance
426,Decision style: intuitive, analytical, both?,Identity,Decision Making,decision_making_style_general
427,Conflict style: avoid, confront, compromise?,Identity,Conflict,conflict_style
428,Communication: direct, indirect, context-dependent?,Identity,Communication,communication_style_general
429,Love language?,Identity,Love Language,love_language
430,Attachment style?,Identity,Attachment,attachment_style
431,Morning or night person?,Identity,Morning/Night,morning_night_person
432,Organization: neat, messy, functional chaos?,Identity,Organization,organization_style
433,Perfectionism: high, medium, low?,Identity,Perfectionism,perfectionism_level
434,Spontaneous or planner?,Identity,Spontaneity,spontaneity_vs_planning
435,Optimist, pessimist, or realist?,Identity,Optimism,optimism_pessimism
436,Social battery: high, medium, low?,Identity,Social Battery,social_battery
437,Alone time needs: high, medium, low?,Identity,Alone Time,alone_time_needs
438,Top 3 life priorities?,Identity,Priorities,life_priorities
439,Biggest fear?,Identity,Fear,biggest_fear
440,Biggest dream?,Identity,Dream,biggest_dream
441,Role models?,Identity,Role Models,role_models
442,Life-changing moment?,Identity,Life-changing,life_changing_moment
443,Proudest moment?,Identity,Proudest,proudest_moment
444,Biggest regret?,Identity,Regret,biggest_regret
445,Learning style: visual, auditory, kinesthetic, reading?,Learning,Style,learning_style
446,Learning format: video, text, audio, hands-on?,Learning,Format,preferred_learning_format
447,Learning pace: fast, moderate, slow?,Learning,Pace,learning_pace
448,Best retention method?,Learning,Retention,retention_method
449,Focus span: long, medium, short?,Learning,Concentration,concentration_span
450,Best learning time of day?,Learning,Time,best_learning_time
451,Learning environment: quiet, background noise, music?,Learning,Environment,learning_environment
452,Note-taking: detailed, brief, digital, handwritten?,Learning,Notes,note_taking_style
453,Current learning goals?,Learning,Goals,learning_goals
454,Subjects of interest?,Learning,Subjects,subjects_of_interest
455,Highest education?,Learning,Education,formal_education
456,Online learning platforms used?,Learning,Platforms,online_course_platforms
457,Monthly learning budget?,Learning,Budget,learning_budget
458,Certifications pursuing?,Learning,Certifications,certifications_desired
459,Learning: with mentor or self-taught?,Learning,Mentor,mentor_preference
460,Group or solo learning?,Learning,Group,group_vs_solo_learning
461,Practice frequency?,Learning,Practice,practice_frequency
462,Learning challenges?,Learning,Challenges,learning_challenges
463,Apply knowledge: immediately, eventually, rarely?,Learning,Application,knowledge_application
464,Skill gaps to fill?,Learning,Gaps,skill_gaps
465,Languages learning?,Learning,Languages,languages_learning
466,Reading frequency?,Learning,Reading,reading_frequency
467,Podcast listening?,Learning,Podcasts,podcast_listening
468,Documentary watching?,Learning,Documentaries,documentary_watching
469,Conference attendance?,Learning,Conferences,conference_attendance
470,Professional development priority: high, medium, low?,Learning,Development,professional_development
471,Teach others: often, sometimes, rarely?,Learning,Teaching,teaching_others
472,Learning communities joined?,Learning,Community,learning_community
473,Share knowledge: actively, occasionally, privately?,Learning,Sharing,knowledge_sharing
474,Curiosity areas?,Learning,Curiosity,curiosity_areas
475,Learning motivation?,Learning,Motivation,learning_motivation
476,Handle learning failure: bounce back, discouraged, motivated?,Learning,Failure,failure_response
477,Daily info consumption hours?,Learning,Consumption,information_consumption
478,Critical thinking: strong, developing, needs work?,Learning,Critical Thinking,critical_thinking
479,Relationship status?,Relationships,Status,relationship_status_detailed
480,Current relationship length?,Relationships,Length,relationship_length
481,Relationship goals?,Relationships,Goals,relationship_goals
482,Partnership values?,Relationships,Values,partnership_values
483,Relationship conflict style?,Relationships,Conflict,conflict_resolution_relationships
484,Quality time needs: high, medium, low?,Relationships,Quality Time,quality_time_needs
485,Independence needs: high, medium, low?,Relationships,Independence,independence_needs
486,Communication frequency preference?,Relationships,Communication,communication_frequency
487,Affection style: physical, verbal, acts of service, gifts?,Relationships,Affection,affection_style
488,Date night frequency?,Relationships,Date Night,date_night_frequency
489,Shared interests importance: high, medium, low?,Relationships,Shared Interests,shared_interests
490,Separate interests importance: high, medium, low?,Relationships,Separate Interests,separate_interests
491,Finances: shared, separate, hybrid?,Relationships,Finances,financial_approach
492,Household split?,Relationships,Household,household_responsibilities
493,Social life: together, separate, balanced?,Relationships,Social Balance,social_life_balance
494,Friend circle: large, medium, small?,Relationships,Friend Circle,friend_circle_size
495,Friendships: many acquaintances or few close?,Relationships,Friendship Depth,friendship_depth
496,Friend contact frequency?,Relationships,Contact,friend_contact_frequency
497,Preferred social activities?,Relationships,Activities,social_activities
498,Networking: active, moderate, minimal?,Relationships,Networking,networking
499,Relationship boundaries: clear, flexible, needs work?,Relationships,Boundaries,boundaries_relationships
500,Trust easily: yes, selectively, rarely?,Relationships,Trust,trust_level
501,Jealousy: high, medium, low?,Relationships,Jealousy,jealousy_tendency
502,Commitment: ready, cautious, avoiding?,Relationships,Commitment,commitment_readiness
503,Past relationship impact: significant, moderate, minimal?,Relationships,Past Impact,past_relationship_impact
504,Relationship deal-breakers?,Relationships,Deal-breakers,relationship_deal_breakers
505,Ideal partner qualities?,Relationships,Ideal Partner,ideal_partner_qualities
506,Relationship challenges?,Relationships,Challenges,relationship_challenges
507,Support expectations?,Relationships,Support,support_expectations
508,Growth together importance: high, medium, low?,Relationships,Growth,growth_together
509,Morning routine?,Habits,Morning,morning_routine
510,Evening routine?,Habits,Evening,evening_routine
511,Typical wake time?,Habits,Wake Time,wake_up_time
512,Typical bedtime?,Habits,Bedtime,bedtime
513,Screen time before bed?,Habits,Screen Time,screen_time_before_bed
514,Morning beverage?,Habits,Beverage,morning_beverage
515,Breakfast: daily, sometimes, skip?,Habits,Breakfast,breakfast_habit
516,Commute time?,Habits,Commute,commute_time
517,Break frequency during work?,Habits,Breaks,work_breaks
518,Lunch break length?,Habits,Lunch,lunch_break
519,Afternoon energy: high, medium, low?,Habits,Energy,afternoon_energy
520,Exercise time: morning, afternoon, evening?,Habits,Exercise,exercise_timing
521,Meal prep: daily, weekly, rarely?,Habits,Meal Prep,meal_prep_frequency
522,Cleaning frequency?,Habits,Cleaning,cleaning_frequency
523,Laundry frequency?,Habits,Laundry,laundry_frequency
524,Errands: weekday, weekend, as needed?,Habits,Errands,errands_timing
525,Daily social media time?,Habits,Social Media,social_media_usage
526,News: daily, weekly, rarely?,Habits,News,news_consumption
527,Hobby time per week?,Habits,Hobbies,hobbies_frequency
528,TV/streaming per day?,Habits,TV,tv_streaming_time
529,Gaming frequency?,Habits,Gaming,gaming_frequency
530,Reading time per day?,Habits,Reading,reading_time
531,Meditation: daily, weekly, rarely, never?,Habits,Meditation,meditation_practice
532,Journaling: daily, weekly, rarely, never?,Habits,Journaling,journaling
533,Planning: daily, weekly, monthly?,Habits,Planning,planning_frequency
534,Productivity peak time?,Habits,Productivity,productivity_peak
535,Procrastination: high, medium, low?,Habits,Procrastination,procrastination_tendency
536,Multitasking: often, sometimes, rarely?,Habits,Multitasking,multitasking
537,Track habits?,Habits,Tracking,habit_tracking
538,Routine flexibility: rigid, balanced, flexible?,Habits,Flexibility,routine_flexibility
539,Sports played?,Sports & Hobbies,Sports,sports_participation
540,Exercise frequency?,Sports & Hobbies,Frequency,exercise_frequency_sports
541,Fitness level: high, medium, low?,Sports & Hobbies,Fitness,fitness_level
542,Team or individual sports?,Sports & Hobbies,Team vs Individual,team_vs_individual_sports
543,Outdoor or indoor activities?,Sports & Hobbies,Outdoor/Indoor,outdoor_vs_indoor
544,Competitive: very, somewhat, not?,Sports & Hobbies,Competitive,competitive_nature
545,Monthly sports budget?,Sports & Hobbies,Budget,sports_budget
546,Sports equipment owned?,Sports & Hobbies,Equipment,equipment_owned
547,Gym membership?,Sports & Hobbies,Gym,gym_membership
548,Sports goals?,Sports & Hobbies,Goals,sports_goals_specific
549,Past injuries?,Sports & Hobbies,Injuries,injury_history
550,Recovery needs?,Sports & Hobbies,Recovery,recovery_needs_sports
551,Sports events attended?,Sports & Hobbies,Events,sports_events_attended
552,Sports watched?,Sports & Hobbies,Watch,favorite_sports_to_watch
553,Hobbies?,Sports & Hobbies,Hobbies List,hobbies_list
554,Hobby time per week?,Sports & Hobbies,Time,hobby_time_per_week
555,Hobby budget?,Sports & Hobbies,Budget,hobby_budget
556,Hobbies: solo, social, both?,Sports & Hobbies,Social,hobby_social_aspect
557,Hobby skill levels?,Sports & Hobbies,Skill,hobby_skill_level
558,New hobbies to try?,Sports & Hobbies,Learning,hobby_learning_interest
559,Collections?,Sports & Hobbies,Collections,collections
560,DIY/crafts?,Sports & Hobbies,Crafts,crafts_diy
561,Instruments played?,Sports & Hobbies,Instruments,music_instruments
562,Music practice frequency?,Sports & Hobbies,Practice,music_practice
563,Creative hobbies?,Sports & Hobbies,Creative,creative_hobbies
564,Outdoor activities?,Sports & Hobbies,Outdoor,outdoor_activities
565,Water sports/activities?,Sports & Hobbies,Water,water_activities
566,Winter activities?,Sports & Hobbies,Winter,winter_activities
567,Adventure level: high, medium, low?,Sports & Hobbies,Adventure,adventure_level
568,Relaxation hobbies?,Sports & Hobbies,Relaxation,relaxation_hobbies
569,Tech comfort: expert, comfortable, learning, struggling?,Technology,Comfort,tech_comfort_level
570,Primary devices?,Technology,Devices,primary_devices
571,Phone?,Technology,Phone,phone_model
572,Computer OS?,Technology,OS,computer_os
573,Tablet usage?,Technology,Tablet,tablet_usage
574,Smartwatch?,Technology,Smartwatch,smartwatch
575,Smart home devices?,Technology,Smart Home,smart_home_devices
576,Gaming devices?,Technology,Gaming,gaming_devices
577,VR/AR usage?,Technology,VR/AR,vr_ar_usage
578,Device upgrade frequency?,Technology,Upgrade,tech_upgrade_frequency
579,Tech budget?,Technology,Budget,tech_budget
580,Software preferences?,Technology,Software,software_preferences
581,Cloud storage used?,Technology,Cloud,cloud_storage
582,Password manager?,Technology,Password,password_manager
583,VPN usage?,Technology,VPN,vpn_usage
584,Privacy concern level: high, medium, low?,Technology,Privacy,privacy_concerns
585,Backup frequency?,Technology,Backup,data_backup
586,Social media platforms?,Technology,Social Media,social_media_platforms
587,Messaging apps?,Technology,Messaging,messaging_apps
588,Email client?,Technology,Email,email_clients
589,Browser?,Technology,Browser,browser_preference
590,Streaming services?,Technology,Streaming,streaming_services
591,Music service?,Technology,Music,music_service
592,Podcast platform?,Technology,Podcasts,podcast_platform
593,Productivity apps?,Technology,Productivity,productivity_apps
594,AI tools used?,Technology,AI,ai_tools_used
595,Automation tools?,Technology,Automation,automation_tools
596,Learning new tech: eager, willing, reluctant?,Technology,Learning,tech_learning
597,Daily screen time?,Technology,Screen Time,screen_time_daily
598,Digital detox frequency?,Technology,Detox,digital_detox
599,Tech frustrations?,Technology,Frustrations,tech_frustrations
600,Tech wishlist?,Technology,Wishlist,tech_wishlist
601,Early adopter: yes, sometimes, no?,Technology,Early Adopter,early_adopter
602,Tech support: self-solve or ask for help?,Technology,Support,tech_support
603,Online shopping frequency?,Technology,Shopping,online_shopping_frequency
604,Housing: house, apartment, condo, other?,Housing & Lifestyle,Type,housing_type
605,Own or rent?,Housing & Lifestyle,Ownership,home_ownership
606,Living space size (sqft/sqm)?,Housing & Lifestyle,Size,living_space_size
607,Bedrooms?,Housing & Lifestyle,Bedrooms,bedrooms
608,Bathrooms?,Housing & Lifestyle,Bathrooms,bathrooms
609,Outdoor space?,Housing & Lifestyle,Outdoor,outdoor_space
610,Home office?,Housing & Lifestyle,Office,home_office
611,Parking?,Housing & Lifestyle,Parking,parking
612,Neighborhood: urban, suburban, rural?,Housing & Lifestyle,Neighborhood,neighborhood_type
613,Commute time?,Housing & Lifestyle,Commute,commute_to_work
614,Walkability: high, medium, low?,Housing & Lifestyle,Walkability,walkability_score
615,Public transport access?,Housing & Lifestyle,Transport,public_transport_access
616,Essential nearby amenities?,Housing & Lifestyle,Amenities,nearby_amenities
617,Noise tolerance: high, medium, low?,Housing & Lifestyle,Noise,noise_tolerance
618,Natural light importance: high, medium, low?,Housing & Lifestyle,Light,natural_light_importance
619,Interior style?,Housing & Lifestyle,Style,interior_style
620,Furniture budget?,Housing & Lifestyle,Furniture,furniture_budget
621,Plants owned?,Housing & Lifestyle,Plants,plant_ownership
622,Home maintenance: DIY or hire?,Housing & Lifestyle,Maintenance,home_maintenance
623,Cleaning service?,Housing & Lifestyle,Cleaning,cleaning_service
624,Recent/planned renovations?,Housing & Lifestyle,Renovations,home_renovations
625,Smart home level: high, medium, low?,Housing & Lifestyle,Smart Home,smart_home_level
626,Energy efficiency priority: high, medium, low?,Housing & Lifestyle,Energy,energy_efficiency
627,Home sustainability: high, medium, low?,Housing & Lifestyle,Sustainability,sustainability_home
628,Pet-friendly space?,Housing & Lifestyle,Pets,pet_friendly
629,Guest space?,Housing & Lifestyle,Guests,guest_accommodation
630,Storage: ample, adequate, limited?,Housing & Lifestyle,Storage,storage_situation
631,Home security?,Housing & Lifestyle,Security,home_security
632,Monthly utilities?,Housing & Lifestyle,Utilities,utilities_budget
633,Rent/mortgage?,Housing & Lifestyle,Rent,rent_mortgage
634,Move frequency?,Housing & Lifestyle,Moves,move_frequency
635,Ideal location?,Housing & Lifestyle,Ideal,ideal_location
636,Climate preference?,Housing & Lifestyle,Climate,climate_preference_housing
637,Future housing plans?,Housing & Lifestyle,Future,future_housing_plans
638,Environmental concern: high, medium, low?,Environment,Concern,environmental_concern
639,Climate action: active, aware, learning?,Environment,Action,climate_action
640,Recycling: always, often, sometimes, rarely?,Environment,Recycling,recycling_habits
641,Composting?,Environment,Composting,composting
642,Waste reduction efforts?,Environment,Waste,waste_reduction
643,Reusable items used?,Environment,Reusables,reusable_items
644,Plastic avoidance: active, moderate, minimal?,Environment,Plastic,plastic_avoidance
645,Energy conservation?,Environment,Energy,energy_conservation
646,Water conservation?,Environment,Water,water_conservation
647,Renewable energy use?,Environment,Renewable,renewable_energy
648,Transport: car, public, bike, walk, mix?,Environment,Transport,transportation_environmental
649,Electric vehicle?,Environment,EV,electric_vehicle
650,Carbon footprint awareness: high, medium, low?,Environment,Carbon,carbon_footprint_awareness
651,Carbon offsetting?,Environment,Offsetting,carbon_offsetting
652,Sustainable shopping priority: high, medium, low?,Environment,Shopping,sustainable_shopping
653,Secondhand shopping frequency?,Environment,Secondhand,secondhand_shopping
654,Local products priority: high, medium, low?,Environment,Local,local_products
655,Organic products priority: high, medium, low?,Environment,Organic,organic_products
656,Minimalism: yes, somewhat, no?,Environment,Minimalism,minimalism
657,Donation frequency?,Environment,Donations,donation_frequency
658,Environmental activism?,Environment,Activism,environmental_activism
659,Conservation efforts?,Environment,Conservation,conservation_efforts
660,Wildlife support?,Environment,Wildlife,wildlife_support
661,Environmental education: active, interested, minimal?,Environment,Education,environmental_education
662,Eco-friendly home features?,Environment,Home,eco_friendly_home
663,Grow own food?,Environment,Garden,garden_growing
664,Environmental budget?,Environment,Budget,environmental_budget
665,Green certifications valued?,Environment,Certifications,green_certifications
666,Environmental goals?,Environment,Goals,environmental_goals
667,Climate anxiety: high, medium, low?,Environment,Anxiety,climate_anxiety
668,Environmental groups joined?,Environment,Community,environmental_community
669,Life purpose?,Philosophy,Purpose,life_purpose
670,Meaning of life?,Philosophy,Meaning,meaning_of_life
671,Belief system?,Philosophy,Beliefs,belief_system
672,Existential questions pondered?,Philosophy,Existential,existential_questions
673,View on mortality?,Philosophy,Mortality,mortality_perspective
674,Afterlife beliefs?,Philosophy,Afterlife,afterlife_beliefs
675,Free will: yes, no, uncertain?,Philosophy,Free Will,free_will
676,Fate or choice?,Philosophy,Fate,fate_vs_choice
677,View on good vs evil?,Philosophy,Good vs Evil,good_vs_evil
678,Human nature view: good, neutral, complex?,Philosophy,Human Nature,human_nature
679,Truth definition?,Philosophy,Truth,truth_definition
680,Trusted knowledge sources?,Philosophy,Knowledge,knowledge_sources
681,Reality perception?,Philosophy,Reality,reality_perception
682,Consciousness view?,Philosophy,Consciousness,consciousness_view
683,Ethical framework?,Philosophy,Ethics,ethical_framework
684,Moral compass source?,Philosophy,Morality,moral_compass
685,Justice definition?,Philosophy,Justice,justice_definition
686,Rights vs responsibilities?,Philosophy,Rights,rights_responsibilities
687,Individual or collective priority?,Philosophy,Individual vs Collective,individual_vs_collective
688,Change or tradition?,Philosophy,Change,change_vs_tradition
689,Progress definition?,Philosophy,Progress,progress_definition
690,Technology view: optimistic, cautious, pessimistic?,Philosophy,Technology,technology_philosophy
691,Nature or nurture?,Philosophy,Nature vs Nurture,nature_vs_nurture
692,Happiness philosophy?,Philosophy,Happiness,happiness_pursuit
693,Suffering meaning?,Philosophy,Suffering,suffering_meaning
694,Legacy importance: high, medium, low?,Philosophy,Legacy,legacy_importance
695,Philosophical influences?,Philosophy,Influences,influence_philosophy
696,Philosophical contemplation frequency?,Philosophy,Contemplation,contemplation_frequency
697,Spiritual practices?,Philosophy,Spiritual,spiritual_practices
698,Meditation/mindfulness?,Philosophy,Meditation,meditation_philosophy
699,Political engagement: active, moderate, minimal?,Politics,Engagement,political_engagement
700,Political ideology?,Politics,Ideology,political_ideology
701,Voting: always, usually, sometimes, rarely?,Politics,Voting,voting_frequency
702,Political news sources?,Politics,News,news_sources_politics
703,Political discussion: often, sometimes, avoid?,Politics,Discussion,political_discussion
704,Activism: active, occasional, none?,Politics,Activism,activism_participation
705,Causes supported?,Politics,Causes,causes_supported
706,Charity donations?,Politics,Charity,charity_donations
707,Volunteering frequency?,Politics,Volunteering,volunteering
708,Social justice priority: high, medium, low?,Politics,Social Justice,social_justice
709,Economic views?,Politics,Economics,economic_views
710,Healthcare views?,Politics,Healthcare,healthcare_views
711,Education views?,Politics,Education,education_views
712,Environmental policy priority: high, medium, low?,Politics,Environment,environmental_policy
713,Immigration views?,Politics,Immigration,immigration_views
714,Foreign policy interest: high, medium, low?,Politics,Foreign Policy,foreign_policy
715,Government role preference?,Politics,Government,government_role
716,Taxation views?,Politics,Taxation,taxation_views
717,Regulation views?,Politics,Regulation,regulation_views
718,Civil liberties priority: high, medium, low?,Politics,Civil Liberties,civil_liberties
719,Gun control views?,Politics,Gun Control,gun_control
720,Abortion views?,Politics,Abortion,abortion_rights
721,LGBTQ+ rights: strong support, support, neutral, oppose?,Politics,LGBTQ+ Rights,lgbtq_rights
722,Racial justice priority: high, medium, low?,Politics,Racial Justice,racial_justice
723,Gender equality priority: high, medium, low?,Politics,Gender Equality,gender_equality
724,Workers' rights priority: high, medium, low?,Politics,Workers' Rights,workers_rights
725,Corporate responsibility views?,Politics,Corporate,corporate_responsibility
726,Media trust: high, medium, low?,Politics,Media,media_trust
727,Fact-checking: always, often, sometimes, rarely?,Politics,Fact-checking,fact_checking
728,Political outlook: optimistic, realistic, pessimistic?,Politics,Outlook,political_hope
729,Future outlook: optimistic, realistic, pessimistic?,Future,Outlook,future_outlook
730,1-year goal?,Future,1 Year,one_year_goals
731,5-year goal?,Future,5 Year,five_year_goals
732,10-year goal?,Future,10 Year,ten_year_goals
733,Career aspirations?,Future,Career,career_aspirations
734,Financial goals?,Future,Financial,financial_goals
735,Savings target?,Future,Savings,savings_target
736,Retirement plans?,Future,Retirement,retirement_plans
737,Retirement age target?,Future,Retirement Age,retirement_age_target
738,Investment strategy?,Future,Investment,investment_strategy
739,Real estate goals?,Future,Real Estate,real_estate_goals
740,Future education plans?,Future,Education,education_future
741,Skills to develop?,Future,Skills,skill_development
742,Health goals?,Future,Health,health_goals_future
743,Fitness goals?,Future,Fitness,fitness_goals_future
744,Weight goals?,Future,Weight,weight_goals
745,Relationship goals?,Future,Relationship,relationship_future
746,Family plans?,Future,Family,family_future
747,Children plans?,Future,Children,children_future
748,Relocation plans?,Future,Relocation,relocation_plans
749,Travel bucket list?,Future,Travel,travel_bucket_list
750,Adventure goals?,Future,Adventure,adventure_goals
751,Creative project goals?,Future,Creative,creative_projects
752,Business ideas?,Future,Business,business_ideas
753,Side hustle plans?,Future,Side Hustle,side_hustle
754,Passive income goals?,Future,Passive Income,passive_income
755,Philanthropy goals?,Future,Philanthropy,philanthropy
756,Legacy goals?,Future,Legacy,legacy_goals
757,Bucket list items?,Future,Bucket List,bucket_list
758,Future fears?,Future,Fears,fears_about_future
759,Future excitement?,Future,Excitement,excitement_about_future
